serverType	index	rankInterval	needJiFen	levelRangeId	levelRange	reward	rewardEx	rankImg
服务器类型	排名索引	排名区间	占位最低积分	等级段ID	等级区段	奖励	特殊奖励	是否显示
1	1	1,1	3000	1	[30,59]	[(28443,500),(26450,400),(27492,1),(27493,3),(28447,1),(25600,400),(26949,1)]	[(28453,1)]	WZGC_TextDYM
1	2	2,2	3000	1	[30,59]	[(28443,420),(26450,350),(27492,1),(27493,2),(28254,1),(25600,350),(27620,1)]	[(28454,1)]	WZGC_TextDRM
1	3	3,3	3000	1	[30,59]	[(28443,360),(26450,300),(27492,1),(27493,2),(28254,1),(25600,300),(27619,1)]	[(28454,1)]	WZGC_TextDSM
1	4	4,4	3000	1	[30,59]	[(28443,320),(26450,250),(27492,1),(27493,2),(28254,1),(25600,250),(27619,1)]	[(28454,1)]	WZGC_TextD4M
1	5	5,8	3000	1	[30,59]	[(28443,280),(26450,200),(27492,1),(27493,1),(28253,1),(25600,200),(27618,1)]	[(28454,1)]	WZGC_Text5
1	6	9,10	3000	1	[30,59]	[(28443,240),(26450,180),(27492,1),(27493,1),(28253,1),(25600,180),(27618,1)]	[(28454,1)]	WZGC_Text9
1	7	11,20	3000	1	[30,59]	[(28443,210),(26450,150),(27492,1),(28253,1),(25600,150),(27521,1)]	[(28454,1)]	WZGC_Text11
1	8	21,31	3000	1	[30,59]	[(28443,180),(26450,120),(27492,1),(28253,1),(25600,120),(27521,1)]	[(28454,1)]	WZGC_Text31
1	9	32,40	3000	1	[30,59]	[(28443,150),(26450,100),(27492,1),(28253,1),(25600,100),(27520,1)]		WZGC_Text32
1	10	41,50	3000	1	[30,59]	[(28443,120),(26450,80),(27492,1),(28253,1),(25600,80),(27520,1)]		WZGC_Text41
1	11	51,80	3000	1	[30,59]	[(28443,100),(26450,60),(27492,1),(25600,60),(27520,1)]		WZGC_Text80
1	12	81,100	3000	1	[30,59]	[(28443,80),(26450,50),(27492,1),(25600,50),(27520,1)]		WZGC_Text81
1	13	101,200	3000	1	[30,59]	[(28443,60),(26450,40),(27492,1),(25600,40),(27519,1)]		WZGC_Text101
1	14	201,300	3000	1	[30,59]	[(28443,40),(26450,30),(25600,30),(27519,1)]		WZGC_Text201
1	15	301,400	3000	1	[30,59]	[(28443,30),(26450,25),(25600,25),(27519,1)]		WZGC_Text301
1	16	401,500	3000	1	[30,59]	[(28443,20),(26450,20),(25600,20),(27518,1)]		WZGC_Text401
1	1	1,1	3000	2	[60,79]	[(28443,500),(26450,400),(27492,1),(27493,3),(28447,1),(26344,400),(26949,1)]	[(28453,1)]	WZGC_TextDYM
1	2	2,2	3000	2	[60,79]	[(28443,420),(26450,350),(27492,1),(27493,2),(28254,1),(26344,350),(27620,1)]	[(28454,1)]	WZGC_TextDRM
1	3	3,3	3000	2	[60,79]	[(28443,360),(26450,300),(27492,1),(27493,2),(28254,1),(26344,300),(27619,1)]	[(28454,1)]	WZGC_TextDSM
1	4	4,4	3000	2	[60,79]	[(28443,320),(26450,250),(27492,1),(27493,2),(28254,1),(26344,250),(27619,1)]	[(28454,1)]	WZGC_TextD4M
1	5	5,8	3000	2	[60,79]	[(28443,280),(26450,200),(27492,1),(27493,1),(28253,1),(26344,200),(27618,1)]	[(28454,1)]	WZGC_Text5
1	6	9,10	3000	2	[60,79]	[(28443,240),(26450,180),(27492,1),(27493,1),(28253,1),(26344,180),(27618,1)]	[(28454,1)]	WZGC_Text9
1	7	11,20	3000	2	[60,79]	[(28443,210),(26450,150),(27492,1),(28253,1),(26344,150),(27521,1)]	[(28454,1)]	WZGC_Text11
1	8	21,31	3000	2	[60,79]	[(28443,180),(26450,120),(27492,1),(28253,1),(26344,120),(27521,1)]	[(28454,1)]	WZGC_Text31
1	9	32,40	3000	2	[60,79]	[(28443,150),(26450,100),(27492,1),(28253,1),(26344,100),(27520,1)]		WZGC_Text32
1	10	41,50	3000	2	[60,79]	[(28443,120),(26450,80),(27492,1),(28253,1),(26344,80),(27520,1)]		WZGC_Text41
1	11	51,80	3000	2	[60,79]	[(28443,100),(26450,60),(27492,1),(26344,60),(27520,1)]		WZGC_Text80
1	12	81,100	3000	2	[60,79]	[(28443,80),(26450,50),(27492,1),(26344,50),(27520,1)]		WZGC_Text81
1	13	101,200	3000	2	[60,79]	[(28443,60),(26450,40),(27492,1),(26344,40),(27519,1)]		WZGC_Text101
1	14	201,300	3000	2	[60,79]	[(28443,40),(26450,30),(26344,30),(27519,1)]		WZGC_Text201
1	15	301,400	3000	2	[60,79]	[(28443,30),(26450,25),(26344,25),(27519,1)]		WZGC_Text301
1	16	401,500	3000	2	[60,79]	[(28443,20),(26450,20),(26344,20),(27518,1)]		WZGC_Text401
1	1	1,1	3000	3	[80,84]	[(28443,500),(26450,400),(27492,1),(27493,3),(28447,1),(26936,400),(27627,2)]	[(28453,1)]	WZGC_TextDYM
1	2	2,2	3000	3	[80,84]	[(28443,420),(26450,350),(27492,1),(27493,2),(28254,1),(26936,350),(27627,1)]	[(28454,1)]	WZGC_TextDRM
1	3	3,3	3000	3	[80,84]	[(28443,360),(26450,300),(27492,1),(27493,2),(28254,1),(26936,300),(27626,1)]	[(28454,1)]	WZGC_TextDSM
1	4	4,4	3000	3	[80,84]	[(28443,320),(26450,250),(27492,1),(27493,2),(28254,1),(26936,250),(27626,1)]	[(28454,1)]	WZGC_TextD4M
1	5	5,8	3000	3	[80,84]	[(28443,280),(26450,200),(27492,1),(27493,1),(28253,1),(26936,200),(27625,1)]	[(28454,1)]	WZGC_Text5
1	6	9,10	3000	3	[80,84]	[(28443,240),(26450,180),(27492,1),(27493,1),(28253,1),(26936,180),(27625,1)]	[(28454,1)]	WZGC_Text9
1	7	11,20	3000	3	[80,84]	[(28443,210),(26450,150),(27492,1),(28253,1),(26936,150),(27624,1)]	[(28454,1)]	WZGC_Text11
1	8	21,31	3000	3	[80,84]	[(28443,180),(26450,120),(27492,1),(28253,1),(26936,120),(27624,1)]	[(28454,1)]	WZGC_Text31
1	9	32,40	3000	3	[80,84]	[(28443,150),(26450,100),(27492,1),(28253,1),(26936,100),(27623,1)]		WZGC_Text32
1	10	41,50	3000	3	[80,84]	[(28443,120),(26450,80),(27492,1),(28253,1),(26936,80),(27623,1)]		WZGC_Text41
1	11	51,80	3000	3	[80,84]	[(28443,100),(26450,60),(27492,1),(26936,60),(27623,1)]		WZGC_Text80
1	12	81,100	3000	3	[80,84]	[(28443,80),(26450,50),(27492,1),(26936,50),(27623,1)]		WZGC_Text81
1	13	101,200	3000	3	[80,84]	[(28443,60),(26450,40),(27492,1),(26936,40),(27622,1)]		WZGC_Text101
1	14	201,300	3000	3	[80,84]	[(28443,40),(26450,30),(26936,30),(27622,1)]		WZGC_Text201
1	15	301,400	3000	3	[80,84]	[(28443,30),(26450,25),(26936,25),(27622,1)]		WZGC_Text301
1	16	401,500	3000	3	[80,84]	[(28443,20),(26450,20),(26936,20),(27621,1)]		WZGC_Text401
1	1	1,1	3000	4	[85,179]	[(28443,500),(26450,400),(27492,1),(27493,3),(28447,1),(26936,400),(28044,1),(26899,1)]	[(28453,1)]	WZGC_TextDYM
1	2	2,2	3000	4	[85,179]	[(28443,420),(26450,350),(27492,1),(27493,2),(28254,1),(26936,350),(28043,1),(26899,1)]	[(28454,1)]	WZGC_TextDRM
1	3	3,3	3000	4	[85,179]	[(28443,360),(26450,300),(27492,1),(27493,2),(28254,1),(26936,300),(28042,1),(26899,1)]	[(28454,1)]	WZGC_TextDSM
1	4	4,4	3000	4	[85,179]	[(28443,320),(26450,250),(27492,1),(27493,2),(28254,1),(26936,250),(28042,1),(26899,1)]	[(28454,1)]	WZGC_TextD4M
1	5	5,8	3000	4	[85,179]	[(28443,280),(26450,200),(27492,1),(27493,1),(28253,1),(26936,200),(28042,1)]	[(28454,1)]	WZGC_Text5
1	6	9,10	3000	4	[85,179]	[(28443,240),(26450,180),(27492,1),(27493,1),(28253,1),(26936,180),(28042,1)]	[(28454,1)]	WZGC_Text9
1	7	11,20	3000	4	[85,179]	[(28443,210),(26450,150),(27492,1),(28253,1),(26936,150),(28032,1)]	[(28454,1)]	WZGC_Text11
1	8	21,31	3000	4	[85,179]	[(28443,180),(26450,120),(27492,1),(28253,1),(26936,120),(28032,1)]	[(28454,1)]	WZGC_Text31
1	9	32,40	3000	4	[85,179]	[(28443,150),(26450,100),(27492,1),(28253,1),(26936,100),(28031,1)]		WZGC_Text32
