rewardIndex	needRechargeRMB	rewardItems
奖励索引	需要充值神石数	奖励道具
1	100	[(28442,1)]
2	500	[(28442,1)]
3	1000	[(28442,1)]
4	2000	[(28442,1)]
5	3000	[(28442,2)]
6	4000	[(28442,2)]
7	5000	[(28442,2)]
8	6000	[(28442,2)]
9	8000	[(28442,2)]
10	10000	[(28442,2)]
11	12000	[(28442,2)]
12	15000	[(28442,3)]
13	20000	[(28442,3)]
14	25000	[(28442,3)]
15	30000	[(28442,3)]
16	40000	[(28442,6)]
17	50000	[(28442,6)]
18	60000	[(28442,6)]
19	70000	[(28442,6)]
20	80000	[(28442,6)]
21	90000	[(28442,6)]
22	100000	[(28442,6)]
