dayIndex	itemIndex	rewards
天数索引	物品索引	奖励(needCnt,coding,cnt)
1	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
1	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
2	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
2	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
3	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
3	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
4	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
4	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
5	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
5	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
6	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
6	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
7	1	[(100,26389,1),(500,26390,1),(1000,26391,1),(3000,26392,1),(7000,26393,1),(15000,26394,1),(25000,26395,1)]
7	2	[(100,27494,1),(500,27495,1),(1000,27496,1),(3000,27497,1),(7000,27498,1),(15000,27499,1),(25000,27500,1)]
