rewardId	item	isPrecious	RMBRate	nomalRate	previewItem
奖励ID	奖励物品(coding,cnt)	是否珍贵物品(0-否 1-是)	RMB次数抽奖概率	普通次数抽奖概率	奖励预览
1	(27474,1)	0	1100	0	(27474,1)
2	(27491,1)	1	10	0	(27491,1)
3	(27512,1)	1	100	0	(25829,888)
4	(27474,8)	1	200	0	(27474,8)
5	(27489,1)	1	400	50	(27489,1)
6	(27474,2)	0	1000	500	(27474,2)
7	(27371,1)	1	100	0	(27371,1)
8	(27474,4)	0	500	200	(27474,4)
9	(27511,1)	0	500	300	(25829,188)
10	(27370,1)	1	200	0	(27370,1)
11	(27488,1)	0	1000	500	(27488,1)
12	(27369,1)	0	1000	500	(27369,1)
