dayIndex	rangeId	levelRange	itemIndex	item	originalRMB	needRMB
天数索引	等级区段ID	等级区段	物品索引	商品（coding,cnt）	原价	现价
1	1	[30,39]	1	(27508,1)	250	50
1	2	[40,59]	1	(27509,1)	150	50
1	3	[60,79]	1	(27509,1)	150	50
1	4	[80,179]	1	(27509,1)	150	50
1	1	[30,39]	2	(27504,1)	12995	3995
1	2	[40,59]	2	(27505,1)	8595	3995
1	3	[60,79]	2	(27506,1)	10995	4995
1	4	[80,179]	2	(27507,1)	4795	2995
2	1	[30,39]	1	(27508,1)	250	50
2	2	[40,59]	1	(27509,1)	150	50
2	3	[60,79]	1	(27509,1)	150	50
2	4	[80,179]	1	(27509,1)	150	50
2	1	[30,39]	2	(27504,1)	12995	3995
2	2	[40,59]	2	(27505,1)	8595	3995
2	3	[60,79]	2	(27506,1)	10995	4995
2	4	[80,179]	2	(27507,1)	4795	2995
3	1	[30,39]	1	(27508,1)	250	50
3	2	[40,59]	1	(27509,1)	150	50
3	3	[60,79]	1	(27509,1)	150	50
3	4	[80,179]	1	(27509,1)	150	50
3	1	[30,39]	2	(27504,1)	12995	3995
3	2	[40,59]	2	(27505,1)	8595	3995
3	3	[60,79]	2	(27506,1)	10995	4995
3	4	[80,179]	2	(27507,1)	4795	2995
4	1	[30,39]	1	(27508,1)	250	50
4	2	[40,59]	1	(27509,1)	150	50
4	3	[60,79]	1	(27509,1)	150	50
4	4	[80,179]	1	(27509,1)	150	50
4	1	[30,39]	2	(27504,1)	12995	3995
4	2	[40,59]	2	(27505,1)	8595	3995
4	3	[60,79]	2	(27506,1)	10995	4995
4	4	[80,179]	2	(27507,1)	4795	2995
5	1	[30,39]	1	(27508,1)	250	50
5	2	[40,59]	1	(27509,1)	150	50
5	3	[60,79]	1	(27509,1)	150	50
5	4	[80,179]	1	(27509,1)	150	50
5	1	[30,39]	2	(27504,1)	12995	3995
5	2	[40,59]	2	(27505,1)	8595	3995
5	3	[60,79]	2	(27506,1)	10995	4995
5	4	[80,179]	2	(27507,1)	4795	2995
6	1	[30,39]	1	(27508,1)	250	50
6	2	[40,59]	1	(27509,1)	150	50
6	3	[60,79]	1	(27509,1)	150	50
6	4	[80,179]	1	(27509,1)	150	50
6	1	[30,39]	2	(27504,1)	12995	3995
6	2	[40,59]	2	(27505,1)	8595	3995
6	3	[60,79]	2	(27506,1)	10995	4995
6	4	[80,179]	2	(27507,1)	4795	2995
7	1	[30,39]	1	(27508,1)	250	50
7	2	[40,59]	1	(27509,1)	150	50
7	3	[60,79]	1	(27509,1)	150	50
7	4	[80,179]	1	(27509,1)	150	50
7	1	[30,39]	2	(27504,1)	12995	3995
7	2	[40,59]	2	(27505,1)	8595	3995
7	3	[60,79]	2	(27506,1)	10995	4995
7	4	[80,179]	2	(27507,1)	4795	2995
