level	items
角色等级	奖励物品列表
1	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
2	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
3	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
4	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
5	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
6	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
7	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
8	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
9	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
10	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
11	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
12	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
13	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
14	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
15	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
16	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
17	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
18	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
19	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
20	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
21	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
22	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
23	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
24	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
25	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
26	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
27	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
28	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
29	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
30	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
31	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
32	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
33	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
34	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
35	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
36	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
37	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
38	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
39	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
40	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
41	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
42	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
43	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
44	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
45	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
46	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
47	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
48	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
49	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
50	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
51	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
52	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
53	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
54	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
55	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
56	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
57	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
58	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
59	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
60	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
61	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
62	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
63	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
64	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
65	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
66	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
67	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
68	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
69	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
70	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
71	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
72	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
73	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
74	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
75	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
76	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
77	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
78	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
79	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
80	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
81	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
82	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
83	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
84	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
85	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
86	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
87	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
88	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
89	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
90	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
91	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
92	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
93	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
94	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
95	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
96	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
97	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
98	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
99	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
100	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
101	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
102	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
103	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
104	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
105	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
106	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
107	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
108	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
109	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
110	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
111	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
112	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
113	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
114	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
115	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
116	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
117	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
118	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
119	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
120	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
121	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
122	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
123	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
124	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
125	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
126	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
127	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
128	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
129	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
130	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
131	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
132	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
133	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
134	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
135	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
136	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
137	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
138	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
139	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
140	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
141	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
142	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
143	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
144	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
145	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
146	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
147	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
148	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
149	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
150	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
151	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
152	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
153	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
154	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
155	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
156	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
157	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
158	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
159	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
160	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
161	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
162	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
163	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
164	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
165	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
166	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
167	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
168	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
169	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
170	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
171	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
172	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
173	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
174	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
175	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
176	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
177	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
178	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
179	[(27850,1),(26450,1),(28684,1),(28683,1),(27566,1)]
