mapID	des	safeX	safeY
地图ID	策划备注	安全坐标X	安全坐标Y
1	圣辉城	290	4150
3	龙骸山	240	1400
2	龙骑神殿	256	2175
507	奇迹森林	2500	1600
508	教堂	2100	1600
509	龙塔外围顶层	800	1000
510	龙塔外围中层	760	600
511	龙塔内	160	700
512	龙塔外围底层	570	1500
513	法师塔顶部	660	560
590	法师塔中部	830	650
514	法师塔底部	840	650
515	海盗岛1	2150	1115
516	海盗岛2	2100	1150
517	海盗岛3	1300	1000
70	军团驻地	900	1600
550	人类关卡1	1600	955
551	人类关卡2	350	710
552	人类关卡3	300	100
553	精灵关卡1	300	700
554	精灵关卡2	200	215
591	精灵关卡3	1400	400
555	兽人关卡1	620	800
556	兽人关卡2	0	0
557	兽人关卡3	350	787
592	亡灵关卡1	440	800
558	亡灵关卡2	240	350
559	亡灵关卡3	210	180
560	矮人关卡1	280	790
561	矮人关卡2	200	730
562	矮人关卡3	1233	915
563	元素关卡1	320	310
564	元素关卡2	0	0
565	元素关卡3	1100	855
566	黑暗关卡1	600	1100
567	黑暗关卡2	500	500
568	黑暗关卡3	500	1206
569	恶魔关卡1	300	300
570	恶魔关卡2	270	270
571	恶魔关卡3	220	845
572	龙窟1	280	740
573	龙窟2	1300	800
574	龙窟3	340	888
575	龙窟4	190	545
576	龙窟5	200	570
577	龙窟6	238	855
578	龙窟7	500	570
579	龙窟8	260	1000
700	精灵营地	380	366
701	世界BOSS地图	270	1220
702	兽人营地	1900	1130
703	荣耀战场	385	1522
704	矮人营地	290	495
705	亡灵营地	150	1072
706	元素营地	1966	1140
710	新手海盗岛无阻挡	2100	1150
800	人类补充1	120	670
801	人类补充2	160	738
810	精灵补充1	1400	690
811	精灵补充2	850	840
820	矮人补充1	1264	923
821	矮人补充2	370	622
830	兽人补充1	1100	870
831	兽人补充2	1440	837
900	矿洞场景1	114	863
901	矿洞场景2	230	900
1111	结婚场景	820	910
41	龙骇山切片1	268	1287
42	龙骇山切片2	760	666
43	奇迹森林1	644	844
6000	讨伐乱党1	1233	1956
6001	讨伐乱党2	531	777
6005	拯救公主1	1100	870
6006	拯救公主2	2000	1203
6010	遗落神迹	430	1741
6011	亡者墓园	350	1080
6015	堕落竞技场	794	680
10004	新手村试验	304	2224
902	怪物角斗场	257	758
4040	虚空幻境场景1	1600	955
4041	虚空幻境场景2	1900	1130
4042	虚空幻境场景3	1500	1175
903	荣耀战场	355	1548
904	荣耀战场	355	1548
905	荣耀之战2	355	1548
10005	魔兽入侵测试	270	1220
4036	英灵神殿地图	964	583
5	龙骑神殿	311	2266
4037	试炼场	957	571
4038	试炼场	958	579
2005	精灵地图修改	1343	611
4050	金币玩法	137	266
6016	勇闯龙洞1	178	405
6017	勇闯龙洞2	1357	759
6018	勇闯龙洞3	108	503
6019	勇闯龙洞4	148	808
6020	勇闯龙洞5	193	885
6021	公会副本1	342	1727
7000	梦幻森林	1557	772
7004	龙骑神殿	332	1753
7002	精灵大陆	1586	2322
7003	亡灵圣域	614	429
7005	城主轮值	455	2582
7006	答题	614	429
7009	试炼场副本	243	949
7010	军团驻地副本	238	1343
7011	金币宝藏副本	511	896
6022	公会副本2	226	1980
6023	公会副本3	2711	1930
6024	公会副本4	1000	1760
6025	公会副本5	593	498
6026	亡灵圣域副本	593	498
7012	野外夺宝	3171	602
1010	法师塔底层	301	850
1011	法师塔中层	330	800
1012	法师塔塔顶	1199	688
999	法师塔塔顶	609	1009
1000	爬塔海副本	391	1131
1101	万圣节副本地图	1865	1135
7013	太虚幻境-梦幻森林	748	1672
7014	太虚幻境-主城	678	1607
7015	太虚幻境-龙骑神殿	786	1662
7018	跨服组队竞技场	572	2262
1001	组队爬塔-陆地	440	1104
1002	组队爬塔-亡灵副本	422	1076
7019	本服公会驻地-公会改版1	426	1558
7022	野外夺宝地图（新）	748	816
7023	龙骑神殿（结婚）	332	1753
7024	圣辉城（结婚）	290	4150
7016	诸神战场	2975	1802
9003	虚空幻境-副本	395	1126
9005	龙骑神界	2127	1480
9006	迷失之境	2797	1721
7025	神树秘境	1055	700
9007	深渊炼狱	2975	1802
9008	跨服战场	994	1891
