proType	proName	starLevel	rateValue	percentRange	maxProValue
属性类型	属性名称	属性星级	随机概率控制	万分比区段[a,b]闭区间连续不重叠	属性上限值
1	生命	1	2210	[100,278]	14400
1	生命	2	2010	[279,556]	14400
1	生命	3	1600	[557,884]	14400
1	生命	4	1310	[885,1389]	14400
1	生命	5	1010	[1390,2084]	14400
1	生命	6	710	[2085,2917]	14400
1	生命	7	510	[2918,4167]	14400
1	生命	8	450	[4168,5556]	14400
1	生命	9	120	[5557,7500]	14400
1	生命	10	63	[7501,9167]	14400
1	生命	11	7	[9168,10000]	14400
4	攻击	1	2210	[100,278]	3600
4	攻击	2	2010	[279,556]	3600
4	攻击	3	1600	[557,884]	3600
4	攻击	4	1310	[885,1389]	3600
4	攻击	5	1010	[1390,2084]	3600
4	攻击	6	710	[2085,2917]	3600
4	攻击	7	510	[2918,4167]	3600
4	攻击	8	450	[4168,5556]	3600
4	攻击	9	120	[5557,7500]	3600
4	攻击	10	63	[7501,9167]	3600
4	攻击	11	7	[9168,10000]	3600
5	物防	1	2210	[100,278]	3600
5	物防	2	2010	[279,556]	3600
5	物防	3	1600	[557,884]	3600
5	物防	4	1310	[885,1389]	3600
5	物防	5	1010	[1390,2084]	3600
5	物防	6	710	[2085,2917]	3600
5	物防	7	510	[2918,4167]	3600
5	物防	8	450	[4168,5556]	3600
5	物防	9	120	[5557,7500]	3600
5	物防	10	63	[7501,9167]	3600
5	物防	11	7	[9168,10000]	3600
7	法防	1	2210	[100,278]	3600
7	法防	2	2010	[279,556]	3600
7	法防	3	1600	[557,884]	3600
7	法防	4	1310	[885,1389]	3600
7	法防	5	1010	[1390,2084]	3600
7	法防	6	710	[2085,2917]	3600
7	法防	7	510	[2918,4167]	3600
7	法防	8	450	[4168,5556]	3600
7	法防	9	120	[5557,7500]	3600
7	法防	10	63	[7501,9167]	3600
7	法防	11	7	[9168,10000]	3600
8	暴击	1	2210	[100,278]	3600
8	暴击	2	2010	[279,556]	3600
8	暴击	3	1600	[557,884]	3600
8	暴击	4	1310	[885,1389]	3600
8	暴击	5	1010	[1390,2084]	3600
8	暴击	6	710	[2085,2917]	3600
8	暴击	7	510	[2918,4167]	3600
8	暴击	8	450	[4168,5556]	3600
8	暴击	9	120	[5557,7500]	3600
8	暴击	10	63	[7501,9167]	3600
8	暴击	11	7	[9168,10000]	3600
9	免暴	1	2210	[100,278]	3600
9	免暴	2	2010	[279,556]	3600
9	免暴	3	1600	[557,884]	3600
9	免暴	4	1310	[885,1389]	3600
9	免暴	5	1010	[1390,2084]	3600
9	免暴	6	710	[2085,2917]	3600
9	免暴	7	510	[2918,4167]	3600
9	免暴	8	450	[4168,5556]	3600
9	免暴	9	120	[5557,7500]	3600
9	免暴	10	63	[7501,9167]	3600
9	免暴	11	7	[9168,10000]	3600
10	破防	1	2210	[100,278]	720
10	破防	2	2010	[279,556]	720
10	破防	3	1600	[557,884]	720
10	破防	4	1310	[885,1389]	720
10	破防	5	1010	[1390,2084]	720
10	破防	6	710	[2085,2917]	720
10	破防	7	510	[2918,4167]	720
10	破防	8	450	[4168,5556]	720
10	破防	9	120	[5557,7500]	720
10	破防	10	63	[7501,9167]	720
10	破防	11	7	[9168,10000]	720
11	免破	1	2210	[100,278]	720
11	免破	2	2010	[279,556]	720
11	免破	3	1600	[557,884]	720
11	免破	4	1310	[885,1389]	720
11	免破	5	1010	[1390,2084]	720
11	免破	6	710	[2085,2917]	720
11	免破	7	510	[2918,4167]	720
11	免破	8	450	[4168,5556]	720
11	免破	9	120	[5557,7500]	720
11	免破	10	63	[7501,9167]	720
11	免破	11	7	[9168,10000]	720
12	格挡	1	2210	[100,278]	3600
12	格挡	2	2010	[279,556]	3600
12	格挡	3	1600	[557,884]	3600
12	格挡	4	1310	[885,1389]	3600
12	格挡	5	1010	[1390,2084]	3600
12	格挡	6	710	[2085,2917]	3600
12	格挡	7	510	[2918,4167]	3600
12	格挡	8	450	[4168,5556]	3600
12	格挡	9	120	[5557,7500]	3600
12	格挡	10	63	[7501,9167]	3600
12	格挡	11	7	[9168,10000]	3600
13	破挡	1	2210	[100,278]	3600
13	破挡	2	2010	[279,556]	3600
13	破挡	3	1600	[557,884]	3600
13	破挡	4	1310	[885,1389]	3600
13	破挡	5	1010	[1390,2084]	3600
13	破挡	6	710	[2085,2917]	3600
13	破挡	7	510	[2918,4167]	3600
13	破挡	8	450	[4168,5556]	3600
13	破挡	9	120	[5557,7500]	3600
13	破挡	10	63	[7501,9167]	3600
13	破挡	11	7	[9168,10000]	3600
