soulId	gradeLevel	starLevel	lastSoulId	nextSoulId	upgradeBaseExp	expRange	critControl	talentSkillLevel	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
铸灵ID	阶级	星级	上一个星阶铸灵ID	下一个星阶铸灵ID 0-表示最高星阶	提升的基础经验	经验区间 [a,b)左闭右开区间	暴击控制[(rate,value),]  [(概率，倍数),]	天赋技能等级	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	0	0	0	2	5	[0,100]	[(100,1),(50,3),(10,5)]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	1	3	5	[100,300]	[(100,1),(50,3),(10,5)]	1	576	0	0	144	144	144	144	144	144	0	0	144	144	0	0
3	0	2	2	4	10	[300,600]	[(100,1),(50,3),(10,5)]	1	864	0	0	216	216	216	216	216	216	0	0	216	216	0	0
4	0	3	3	5	10	[600,1000]	[(100,1),(50,3),(10,5)]	1	1152	0	0	288	288	288	288	288	288	0	0	288	288	0	0
5	0	4	4	6	15	[1000,1500]	[(100,1),(50,3),(10,5)]	1	1440	0	0	360	360	360	360	360	360	0	0	360	360	0	0
6	0	5	5	7	15	[1500,2100]	[(100,1),(50,3),(10,5)]	1	1728	0	0	432	432	432	432	432	432	0	0	432	432	0	0
7	0	6	6	8	20	[2100,2800]	[(100,1),(50,3),(10,5)]	1	1728	0	0	432	432	432	432	432	432	0	0	432	432	0	0
8	0	7	7	9	20	[2800,3700]	[(100,1),(50,3),(10,5)]	1	2112	0	0	528	528	528	528	528	528	0	0	528	528	0	0
9	0	8	8	10	25	[3700,4700]	[(100,1),(50,3),(10,5)]	1	2496	0	0	624	624	624	624	624	624	0	0	624	624	0	0
10	0	9	9	11	25	[4700,5800]	[(100,1),(50,3),(10,5)]	1	2880	0	0	720	720	720	720	720	720	0	0	720	720	0	0
11	1	0	10	12	30	[5800,7000]	[(100,1),(50,3),(10,5)]	2	3264	0	0	816	816	816	816	816	816	0	0	816	816	0	0
12	1	1	11	13	30	[7000,8300]	[(100,1),(50,3),(10,5)]	2	3648	0	0	912	912	912	912	912	912	0	0	912	912	0	0
13	1	2	12	14	35	[8300,9700]	[(100,1),(50,3),(10,5)]	2	3648	0	0	912	912	912	912	912	912	0	0	912	912	0	0
14	1	3	13	15	35	[9700,11200]	[(100,1),(50,3),(10,5)]	2	4128	0	0	1032	1032	1032	1032	1032	1032	0	0	1032	1032	0	0
15	1	4	14	16	40	[11200,12800]	[(100,1),(50,3),(10,5)]	2	4608	0	0	1152	1152	1152	1152	1152	1152	0	0	1152	1152	0	0
16	1	5	15	17	40	[12800,15100]	[(100,1),(50,3),(10,5)]	2	5088	0	0	1272	1272	1272	1272	1272	1272	0	0	1272	1272	0	0
17	1	6	16	18	45	[15100,16500]	[(100,1),(50,3),(10,5)]	2	5568	0	0	1392	1392	1392	1392	1392	1392	0	0	1392	1392	0	0
18	1	7	17	19	45	[16500,18000]	[(100,1),(50,3),(10,5)]	2	6048	0	0	1512	1512	1512	1512	1512	1512	0	0	1512	1512	0	0
19	1	8	18	20	50	[18000,19600]	[(100,1),(50,3),(10,5)]	2	6048	0	0	1512	1512	1512	1512	1512	1512	0	0	1512	1512	0	0
20	1	9	19	0	50	[19600,20000]	[(100,1),(50,3),(10,5)]	2	6624	0	0	1656	1656	1656	1656	1656	1656	0	0	1656	1656	0	0
