brandType	brandColor	brandColor_Des	brandLevel	brandName	brandPic	canEquip	canShenJi	shenJiNeedItem	shenJiNeedBrandCnt	shenJiNeedBrand	canFenjie	fenJieNeedRMB	fenJieAddItem	fenJieAddBrand	tanlentLimit	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxProCnt	transmitAddItem	transmitAddBrand
印记类型	印记颜色	颜色描述	印记等级	印记名称	印记图标	是否可装备	是否可以升级	升级材料(coding,cnt)	升级需要印记数量	升级需要印记按顺序优先消耗[(brandType,brandColor,brandLevel),]	是否可以分解	分解需要神石数	分解获得材料(coding,cnt)	分解获得印记(brandType,brandColor,brandLevel,brandCnt)	品质值上限	物攻万分比属性	法攻万分比属性	生命万分比属性	暴击万分比属性	免暴万分比属性	格挡万分比属性	破挡万分比属性	破防万分比属性	免破万分比属性	最大洗练属性条数	继承获得材料(coding,cnt)	继承返还印记材料(brandType,brandColor,brandLevel,brandCnt)
1	1	绿色	1	Lv1 生命印记	yinjishengminglv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	60	0	0	0	0	0	0	2		
1	1	绿色	2	Lv2 生命印记	yinjishengminglv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	120	0	0	0	0	0	0	2	(29235,15)	
1	1	绿色	3	Lv3 生命印记	yinjishengminglv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	240	0	0	0	0	0	0	2	(29235,115)	
1	1	绿色	4	Lv4 生命印记	yinjishengminglv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	360	0	0	0	0	0	0	2	(29235,415)	
1	1	绿色	5	Lv5 生命印记	yinjishengminglv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	480	0	0	0	0	0	0	2	(29235,895)	
1	1	绿色	6	Lv6 生命印记	yinjishengminglv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	600	0	0	0	0	0	0	2	(29235,1615)	
1	1	绿色	7	Lv7 生命印记	yinjishengminglv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	720	0	0	0	0	0	0	2	(29235,2615)	
1	1	绿色	8	Lv8 生命印记	yinjishengminglv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	840	0	0	0	0	0	0	2	(29235,4015)	
1	1	绿色	9	Lv9 生命印记	yinjishengminglv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	1020	0	0	0	0	0	0	2	(29235,7015)	
1	1	绿色	10	Lv10 生命印记	yinjishengminglv	1	0		0		1	0	(29235,12425)		500	0	0	1200	0	0	0	0	0	0	2	(29235,12415)	
2	1	绿色	1	Lv1 攻击印记	yinjigongjilv	1	1	(29235,15)	0		1	0	(29235,10)		500	60	60	0	0	0	0	0	0	0	2		
2	1	绿色	2	Lv2 攻击印记	yinjigongjilv	1	1	(29235,100)	0		1	0	(29235,25)		500	120	120	0	0	0	0	0	0	0	2	(29235,15)	
2	1	绿色	3	Lv3 攻击印记	yinjigongjilv	1	1	(29235,300)	0		1	0	(29235,125)		500	240	240	0	0	0	0	0	0	0	2	(29235,115)	
2	1	绿色	4	Lv4 攻击印记	yinjigongjilv	1	1	(29235,480)	0		1	0	(29235,425)		500	360	360	0	0	0	0	0	0	0	2	(29235,415)	
2	1	绿色	5	Lv5 攻击印记	yinjigongjilv	1	1	(29235,720)	0		1	0	(29235,905)		500	480	480	0	0	0	0	0	0	0	2	(29235,895)	
2	1	绿色	6	Lv6 攻击印记	yinjigongjilv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	600	600	0	0	0	0	0	0	0	2	(29235,1615)	
2	1	绿色	7	Lv7 攻击印记	yinjigongjilv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	720	720	0	0	0	0	0	0	0	2	(29235,2615)	
2	1	绿色	8	Lv8 攻击印记	yinjigongjilv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	840	840	0	0	0	0	0	0	0	2	(29235,4015)	
2	1	绿色	9	Lv9 攻击印记	yinjigongjilv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	1020	1020	0	0	0	0	0	0	0	2	(29235,7015)	
2	1	绿色	10	Lv10 攻击印记	yinjigongjilv	1	0		0		1	0	(29235,12425)		500	1200	1200	0	0	0	0	0	0	0	2	(29235,12415)	
3	1	绿色	1	Lv1 暴击印记	yinjibaojilv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	0	60	0	0	0	0	0	2		
3	1	绿色	2	Lv2 暴击印记	yinjibaojilv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	0	120	0	0	0	0	0	2	(29235,15)	
3	1	绿色	3	Lv3 暴击印记	yinjibaojilv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	0	240	0	0	0	0	0	2	(29235,115)	
3	1	绿色	4	Lv4 暴击印记	yinjibaojilv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	0	360	0	0	0	0	0	2	(29235,415)	
