zjID	FBID	index	fbName	FbImg	sceneID	needLevel	posX	posY	Monster1	x1	y1	face1	reward1	camp1	fight1	Monster2	x2	y2	face2	reward2	camp2	fight2	Monster3	x3	y3	face3	reward3	camp3	fight3	mc1	mc2	mc3	rewardId	jlyl	ljyl
章节ID	副本ID	副本索引（在一个章节中副本类型的排列顺序）	副本名字	副本界面中的副本图标	副本场景ID	需要等级	进入x坐标	进入y坐标	怪物1	坐标x1	坐标y1	朝向1	奖励1	阵营1	战斗底图1	怪物2	坐标x2	坐标y2	朝向2	奖励2	阵营2	战斗底图2	怪物3	坐标x3	坐标y3	朝向3	奖励3	阵营3	战斗底图3	怪物配置1(怪物npc类型,坐标x,坐标y,朝向,奖励ID,战斗阵营id,战斗类型)	怪物配置2	怪物配置3	通关翻牌奖励ID	副本奖励预览（客户端显示）	龙晶预览（客户端显示）
1	1	1	龙人队长	FB_Yuan2	33	28	198	289	4001	481	685	0	11	11	21	4001	1035	796	0	12	12	21	4023	1367	600	0	13	13	21	(4001,481,685,0,11,11,21)	(4001,1035,796,0,12,12,21)	(4023,1367,600,0,13,13,21)	14	[25828,25676,35607]	[25681,3～12]
1	2	2	圣光祭司	5004	34	29	201	219	4002	550	226	0	15	21	22	4002	460	624	0	16	22	22	4024	1368	639	0	17	23	22	(4002,550,226,0,15,21,22)	(4002,460,624,0,16,22,22)	(4024,1368,639,0,17,23,22)	18	[25828,25676,35608]	[25681,3～12]
2	3	1	龙人法师	FB_Yuan2	35	30	512	782	4003	789	697	0	19	31	23	4003	1127	526	0	20	32	23	4025	1464	274	0	21	33	23	(4003,789,697,0,19,31,23)	(4003,1127,526,0,20,32,23)	(4025,1464,274,0,21,33,23)	22	[25828,25676,35607]	[25681,6～24]
2	4	2	死神残影	4023	36	30	238	1343	4004	733	1111	0	23	41	24	4004	1509	791	0	24	42	24	4026	1589	452	0	25	43	24	(4004,733,1111,0,23,41,24)	(4004,1509,791,0,24,42,24)	(4026,1589,452,0,25,43,24)	26	[25828,25676,35608]	[25681,6～24]
2	5	3	龙人祭司	FB_Yuan2	35	31	512	782	4005	789	697	0	27	51	23	4005	1127	526	0	28	52	23	4027	1464	274	0	29	53	23	(4005,789,697,0,27,51,23)	(4005,1127,526,0,28,52,23)	(4027,1464,274,0,29,53,23)	30	[25828,25676,35609]	[25681,6～24]
2	6	4	圣辉护卫	20002	36	31	238	1343	4006	733	1111	0	31	61	24	4006	1509	791	0	32	62	24	4028	1589	452	0	33	63	24	(4006,733,1111,0,31,61,24)	(4006,1509,791,0,32,62,24)	(4028,1589,452,0,33,63,24)	34	[25828,25676,35610]	[25681,6～24]
2	7	5	龙人勇士	FB_Yuan2	35	32	512	782	4007	789	697	0	35	71	23	4007	1127	526	0	36	72	23	4029	1464	274	0	37	73	23	(4007,789,697,0,35,71,23)	(4007,1127,526,0,36,72,23)	(4029,1464,274,0,37,73,23)	38	[25828,25676,35611]	[25681,6～24]
2	8	6	大法师	5003	36	32	238	1343	4008	733	1111	0	39	81	24	4008	1509	791	0	40	82	24	4030	1589	452	0	41	83	24	(4008,733,1111,0,39,81,24)	(4008,1509,791,0,40,82,24)	(4030,1589,452,0,41,83,24)	42	[25828,25676,35606]	[25681,6～24]
2	9	7	龙人弓手	FB_Yuan2	35	33	512	782	4009	789	697	0	43	91	23	4009	1127	526	0	44	92	23	4031	1464	274	0	45	93	23	(4009,789,697,0,43,91,23)	(4009,1127,526,0,44,92,23)	(4031,1464,274,0,45,93,23)	46	[25828,25676,35606]	[25681,6～24]
