evilIndex	star1RewardExp	star1RewardItemList	star2RewardExp	star2RewardItemList	star3RewardExp	star3RewardItemList	bxReward	star1RewardExp_fcm	star1RewardItemList_fcm	star2RewardExp_fcm	star2RewardItemList_fcm	star3RewardExp_fcm	star3RewardItemList_fcm	bxReward_fcm	ylReward	tishi
索引	一星通关奖励经验	[(物品Coding, 物品数量),(x, x)]	2星通关奖励经验	[(物品Coding, 物品数量),(x, x)]	3星通关奖励经验	[(物品Coding, 物品数量),(x, x)]	宝箱奖励	一星通关奖励经验	[(物品Coding, 物品数量),(x, x)]	2星通关奖励经验	[(物品Coding, 物品数量),(x, x)]	3星通关奖励经验	[(物品Coding, 物品数量),(x, x)]	宝箱奖励	客户端读表	非三星提示
1	24500	[(25636,10)]	25000	[(25636,11)]	25500	[(25636,12)]	[(25636,5)]	12250	[(25636,5)]	12500	[(25636,6)]	12750	[(25636,6)]	[(25636,3)]	[25712,25636]	拥有一个蓝色英雄，可三星通关该难度
2	26500	[(25637,10)]	29000	[(25637,12)]	31500	[(25637,14)]	[(25638,5)]	13250	[(25637,5)]	14500	[(25637,6)]	15750	[(25637,7)]	[(25638,3)]	[25712,25637]	拥有一个紫色英雄，可三星通关该难度
3	36500	[(25638,10)]	39000	[(25638,12)]	41500	[(25638,14)]	[(25639,5)]	18250	[(25638,5)]	19500	[(25638,6)]	20750	[(25638,7)]	[(25639,3)]	[25712,25638]	拥有一个橙色英雄，可三星通关该难度
4	46500	[(25639,10)]	49000	[(25639,12)]	51500	[(25639,14)]	[(25639,20)]	23250	[(25639,5)]	24500	[(25639,6)]	25750	[(25639,7)]	[(25639,10)]	[25712,25639]	
5	52000	[(25638,15),(25661,6)]	52500	[(25638,16),(25661,7)]	53000	[(25638,17),(25661,7)]	[(25639,5)]	26000	[(25638,8),(25661,3)]	26250	[(25638,8),(25661,4)]	26500	[(25638,9),(25661,4)]	[(25639,3)]	[25712,25638,25661]	拥有一个2星蓝色英雄，可三星通关该难度
6	54000	[(25638,18),(25661,7)]	56500	[(25638,19),(25661,8)]	59000	[(25638,20),(25661,8)]	[(25639,5)]	27000	[(25638,9),(25661,4)]	28250	[(25638,10),(25661,4)]	29500	[(25638,10),(25661,4)]	[(25639,3)]	[25712,25638,25661]	拥有一个2星紫色英雄，可三星通关该难度
7	64000	[(25639,13),(25661,8)]	66500	[(25639,14),(25661,9)]	69000	[(25639,15),(25661,9)]	[(25639,10)]	32000	[(25639,7),(25661,4)]	33250	[(25639,7),(25661,5)]	34500	[(25639,8),(25661,5)]	[(25639,5)]	[25712,25639,25661]	拥有一个2星橙色英雄，可三星通关该难度
8	74000	[(25639,16),(25661,10)]	75500	[(25639,17),(25661,11)]	77000	[(25639,18),(25661,12)]	[(25639,40)]	37000	[(25639,8),(25661,5)]	37750	[(25639,9),(25661,6)]	38500	[(25639,9),(25661,6)]	[(25639,20)]	[25712,25639,25661]	
9	77500	[(25639,15),(25662,8)]	78000	[(25639,16),(25662,8)]	78500	[(25639,17),(25662,8)]	[(25641,5)]	38750	[(25639,8),(25662,4)]	39000	[(25639,8),(25662,4)]	39250	[(25639,9),(25662,4)]	[(25641,3)]	[25712,25639,25662]	拥有一个3星蓝色英雄，可三星通关该难度
10	79500	[(25639,18),(25662,8)]	82000	[(25639,19),(25662,8)]	84500	[(25639,20),(25662,8)]	[(25641,5)]	39750	[(25639,9),(25662,4)]	41000	[(25639,10),(25662,4)]	42250	[(25639,10),(25662,4)]	[(25641,3)]	[25712,25639,25662]	拥有一个3星紫色英雄，可三星通关该难度
11	89500	[(25640,10),(25662,9)]	92000	[(25640,11),(25662,9)]	94500	[(25640,12),(25662,9)]	[(25641,10)]	44750	[(25640,5),(25662,5)]	46000	[(25640,6),(25662,5)]	47250	[(25640,6),(25662,5)]	[(25641,5)]	[25712,25640,25662]	拥有一个3星橙色英雄，可三星通关该难度
12	99500	[(25640,13),(25662,10)]	101000	[(25640,14),(25662,10)]	102500	[(25640,15),(25662,10)]	[(25641,40)]	49750	[(25640,7),(25662,5)]	50500	[(25640,7),(25662,5)]	51250	[(25640,8),(25662,5)]	[(25641,20)]	[25712,25640,25662]	
13	103000	[(25640,15),(25663,8)]	103500	[(25640,16),(25663,8)]	104000	[(25640,17),(25663,8)]	[(25642,5)]	51500	[(25640,8),(25663,4)]	51750	[(25640,8),(25663,4)]	52000	[(25640,9),(25663,4)]	[(25642,3)]	[25712,25640,25663]	拥有一个4星蓝色英雄，可三星通关该难度
14	105000	[(25640,18),(25663,8)]	107500	[(25640,19),(25663,8)]	110000	[(25640,20),(25663,8)]	[(25642,5)]	52500	[(25640,9),(25663,4)]	53750	[(25640,10),(25663,4)]	55000	[(25640,10),(25663,4)]	[(25642,3)]	[25712,25640,25663]	拥有一个4星紫色英雄，可三星通关该难度
15	115000	[(25641,10),(25663,9)]	117500	[(25641,11),(25663,9)]	120000	[(25641,12),(25663,9)]	[(25642,10)]	57500	[(25641,5),(25663,5)]	58750	[(25641,6),(25663,5)]	60000	[(25641,6),(25663,5)]	[(25642,5)]	[25712,25641,25663]	拥有一个4星橙色英雄，可三星通关该难度
16	125000	[(25641,13),(25663,10)]	126500	[(25641,14),(25663,10)]	128000	[(25641,15),(25663,10)]	[(25642,40)]	62500	[(25641,7),(25663,5)]	63250	[(25641,7),(25663,5)]	64000	[(25641,8),(25663,5)]	[(25642,20)]	[25712,25641,25663]	
17	130000	[(25641,15),(25664,8)]	132000	[(25641,16),(25664,8)]	134000	[(25641,17),(25664,8)]	[(25643,5)]	65000	[(25641,8),(25664,4)]	66000	[(25641,8),(25664,4)]	67000	[(25641,9),(25664,4)]	[(25643,3)]	[25712,25641,25664]	拥有一个5星蓝色英雄，可三星通关该难度
18	139000	[(25641,18),(25664,8)]	144000	[(25641,19),(25664,8)]	149000	[(25641,20),(25664,8)]	[(25643,5)]	69500	[(25641,9),(25664,4)]	72000	[(25641,10),(25664,4)]	74500	[(25641,10),(25664,4)]	[(25643,3)]	[25712,25641,25664]	拥有一个5星紫色英雄，可三星通关该难度
19	154000	[(25642,8),(25664,9)]	159000	[(25642,9),(25664,9)]	164000	[(25642,10),(25664,9)]	[(25643,10)]	77000	[(25642,4),(25664,5)]	79500	[(25642,5),(25664,5)]	82000	[(25642,5),(25664,5)]	[(25643,5)]	[25712,25642,25664]	拥有一个5星橙色英雄，可三星通关该难度
20	169000	[(25642,10),(25664,10)]	174000	[(25642,11),(25664,10)]	179000	[(25642,12),(25664,10)]	[(25643,40)]	84500	[(25642,5),(25664,5)]	87000	[(25642,6),(25664,5)]	89500	[(25642,6),(25664,5)]	[(25643,20)]	[25712,25642,25664]	
21	180000	[(25641,18),(25665,8)]	181000	[(25641,19),(25665,8)]	182000	[(25641,20),(25665,8)]	[(25643,7)]	90000	[(25641,9),(25665,4)]	90500	[(25641,10),(25665,4)]	91000	[(25641,10),(25665,4)]	[(25643,4)]	[25712,25641,25665]	拥有一个6星蓝色英雄，可三星通关该难度
22	182000	[(25641,21),(25665,8)]	183000	[(25641,22),(25665,8)]	184000	[(25641,23),(25665,8)]	[(25643,7)]	91000	[(25641,11),(25665,4)]	91500	[(25641,11),(25665,4)]	92000	[(25641,12),(25665,4)]	[(25643,4)]	[25712,25641,25665]	拥有一个6星紫色英雄，可三星通关该难度
23	184000	[(25642,12),(25665,9)]	185000	[(25642,13),(25665,9)]	186000	[(25642,14),(25665,9)]	[(25643,15)]	92000	[(25642,6),(25665,5)]	92500	[(25642,7),(25665,5)]	93000	[(25642,7),(25665,5)]	[(25643,8)]	[25712,25642,25665]	拥有一个6星橙色英雄，可三星通关该难度
24	186000	[(25642,15),(25665,10)]	187000	[(25642,16),(25665,10)]	188000	[(25642,17),(25665,10)]	[(25643,50)]	93000	[(25642,8),(25665,5)]	93500	[(25642,8),(25665,5)]	94000	[(25642,9),(25665,5)]	[(25643,25)]	[25712,25642,25665]	
