evilLayer	evilLevel	evilIndex	evilLevelName	evilHeadIcon	needLevel	needStar	needColorCode	needPassIndex	needGrade	rewardDes	sceneID	posX	posY	Monster1	x1	y1	face1	camp1	fight1	bossData
恶魔层数	恶魔等级	索引	恶魔等级名称	恶魔头像资源	需要主角等级	需要最小星级	需要最小颜色编码	需要通关的index	需要品阶	奖励描述	场景ID	进入x坐标	进入y坐标	怪物1	坐标x1	坐标y1	朝向1	阵营1	战斗底图1	boss数据(NPC类型，坐标X，坐标Y，朝向，战斗阵营ID，战斗类型)
1	1	1	简单	20012	20	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5000	958	444	7	[2001,2002,2003]	2	(5000,958,444,7,[2001,2002,2003],2)
1	2	2	困难	20012	30	1	3	1	3	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5000	958	444	7	[2004,2005,2006]	2	(5000,958,444,7,[2004,2005,2006],2)
1	3	3	噩梦	20012	31	1	4	2	4	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5000	958	444	7	[2007,2008,2009]	2	(5000,958,444,7,[2007,2008,2009],2)
1	4	4	地狱	20012	33	1	5	3	5	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5000	958	444	7	[2010,2011,2012]	2	(5000,958,444,7,[2010,2011,2012],2)
2	1	5	简单	5102	40	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5001	958	444	7	[2013,2014,2015]	2	(5001,958,444,7,[2013,2014,2015],2)
2	2	6	困难	5102	41	2	3	5	9	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5001	958	444	7	[2016,2017,2018]	2	(5001,958,444,7,[2016,2017,2018],2)
2	3	7	噩梦	5102	42	2	4	6	10	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5001	958	444	7	[2019,2020,2021]	2	(5001,958,444,7,[2019,2020,2021],2)
2	4	8	地狱	5102	43	2	5	7	11	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5001	958	444	7	[2022,2023,2024]	2	(5001,958,444,7,[2022,2023,2024],2)
3	1	9	简单	5104	60	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5002	958	444	7	[2025,2026,2027]	2	(5002,958,444,7,[2025,2026,2027],2)
3	2	10	困难	5104	61	3	3	9	15	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5002	958	444	7	[2028,2029,2030]	2	(5002,958,444,7,[2028,2029,2030],2)
3	3	11	噩梦	5104	62	3	4	10	16	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5002	958	444	7	[2031,2032,2033]	2	(5002,958,444,7,[2031,2032,2033],2)
