index	item	needLevel	Limittype	LimitNum	currencyCoding	currencyCnt
商品索引	道具coding及数量	需要角色等级	限购类型（0为不限购，1为每日限购，2为活动时间内限购）	活动期间限购次数（0为不限）	代币coding	消耗代币数量
1	(37066,1)	40	2	1	28528	240
2	(37046,1)	40	2	1	28528	240
3	(37043,1)	40	2	1	28528	120
4	(37044,1)	40	2	1	28528	120
5	(37045,1)	40	2	1	28528	120
6	(28456,1)	30	2	1	28528	720
7	(27571,1)	100	2	1	28528	1200
8	(28559,1)	80	2	200	28528	4
9	(26320,1)	80	2	200	28528	4
10	(28561,1)	80	2	200	28528	8
11	(26338,1)	80	2	200	28528	8
12	(28452,1)	100	2	150	28528	3
13	(28448,1)	100	2	50	28528	3
14	(28449,1)	100	2	100	28528	3
15	(28450,1)	100	2	100	28528	4
16	(28451,1)	100	2	100	28528	4
17	(27874,1)	80	2	150	28528	2
18	(27875,1)	80	2	50	28528	2
19	(27876,1)	80	2	100	28528	2
20	(27877,1)	80	2	100	28528	4
21	(27878,1)	80	2	100	28528	4
22	(26873,1)	45	2	1	28528	200
23	(26874,1)	45	2	1	28528	200
24	(26875,1)	45	2	1	28528	200
25	(26876,1)	45	2	1	28528	200
26	(26877,1)	45	2	1	28528	200
27	(26878,1)	45	2	1	28528	200
28	(27341,1)	45	2	1	28528	100
29	(27342,1)	45	2	1	28528	100
30	(27343,1)	45	2	1	28528	100
31	(27344,1)	45	2	1	28528	100
32	(27345,1)	45	2	1	28528	100
33	(27346,1)	45	2	1	28528	100
