rewardId	desc	level	needZDL	oneFlyNum	mountLevel	PetNum	GemNum	mountCulNum	wishTimes	tarotTimes	wingTimes	FuWenNum	PetTimes	RingTimes	StarGirlStar	rewardItem	rewardItemShow	rewardTiLi	rewardTarot	rewardHero	bindRMB	money	UnbindRMB_S	Reputation	TaortHP	TempBless	request	requestNum
奖励ID	奖励描述	需要的等级	需要的战斗力	翅膀数（翅膀等级，翅膀个数）	骑宠达到的星数	宠物数（星数，个数）	合成宝石数（宝石等级，宝石个数）	神石培养坐骑次数	许愿次数	获取的命魂数（命魂品阶，个数）	羽翼培养次数	合成符文数(符文等级，符文个数)	每日宠物培养次数	每日婚戒培养次数	需要的星灵星数	物品奖励（服务端用）	物品奖励(客户端用）	体力奖励	命魂奖励	英雄奖励	魔晶奖励	金钱奖励	神石奖励	声望奖励	命力奖励	星灵临时幸运值(临时幸运数值，持续时间秒数)	达标人数	达标最大人数（无则不填）
1	坐骑达到3阶1星	0	0		32			0	0	0	0		0	0	0	[(26639,2),(26642,1)]	[(26639,2),(26642,1)]	0	0	0	0	0	0	0	0			
2	坐骑达到3阶2星	0	0		33			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
3	坐骑达到3阶3星	0	0		34			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
4	坐骑达到3阶4星	0	0		35			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
5	坐骑达到3阶5星	0	0		36			0	0	0	0		0	0	0	[(26640,2)]	[(26640,2)]	0	0	0	0	0	0	0	0			
6	坐骑达到3阶6星	0	0		37			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
7	坐骑达到3阶7星	0	0		38			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
8	坐骑达到3阶8星	0	0		39			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
9	坐骑达到3阶9星	0	0		40			0	0	0	0		0	0	0	[(26641,2)]	[(26641,2)]	0	0	0	0	0	0	0	0			
10	坐骑达到4阶0星	0	0		41			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
11	坐骑达到4阶1星	0	0		42			0	0	0	0		0	0	0	[(26639,1),(26640,1),(26642,1)]	[(26639,1),(26640,1),(26642,1)]	0	0	0	0	0	0	0	0			
12	坐骑达到4阶2星	0	0		43			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
13	坐骑达到4阶3星	0	0		44			0	0	0	0		0	0	0	[(26639,1),(26640,2)]	[(26639,1),(26640,2)]	0	0	0	0	0	0	0	0			
14	坐骑达到4阶4星	0	0		45			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
15	坐骑达到4阶5星	0	0		46			0	0	0	0		0	0	0	[(26639,1),(26640,3)]	[(26639,1),(26640,3)]	0	0	0	0	0	0	0	0			
16	坐骑达到4阶6星	0	0		47			0	0	0	0		0	0	0	[(26640,2),(26642,1)]	[(26640,2),(26642,1)]	0	0	0	0	0	0	0	0			
17	坐骑达到4阶7星	0	0		48			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
18	坐骑达到4阶8星	0	0		49			0	0	0	0		0	0	0	[(26640,3)]	[(26640,3)]	0	0	0	0	0	0	0	0			
19	坐骑达到4阶9星	0	0		50			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
20	坐骑达到5阶0星	0	0		51			0	0	0	0		0	0	0	[(26640,4)]	[(26640,4)]	0	0	0	0	0	0	0	0			
21	坐骑达到5阶1星	0	0		52			0	0	0	0		0	0	0	[(26639,1),(26640,2),(26642,1),(25622,1)]	[(26639,1),(26640,2),(26642,1),(25622,1)]	0	0	0	0	0	0	0	0			
22	坐骑达到5阶2星	0	0		53			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
23	坐骑达到5阶3星	0	0		54			0	0	0	0		0	0	0	[(26639,1),(26641,2),(25623,1)]	[(26639,1),(26641,2),(25623,1)]	0	0	0	0	0	0	0	0			
24	坐骑达到5阶4星	0	0		55			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
25	坐骑达到5阶5星	0	0		56			0	0	0	0		0	0	0	[(26641,3),(25624,1)]	[(26641,3),(25624,1)]	0	0	0	0	0	0	0	0			
26	坐骑达到5阶6星	0	0		57			0	0	0	0		0	0	0	[(26641,2),(26642,1),(25624,1)]	[(26641,2),(26642,1),(25624,1)]	0	0	0	0	0	0	0	0			
27	坐骑达到5阶7星	0	0		58			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
28	坐骑达到5阶8星	0	0		59			0	0	0	0		0	0	0	[(26640,1),(26641,2),(25625,1)]	[(26640,1),(26641,2),(25625,1)]	0	0	0	0	0	0	0	0			
29	坐骑达到5阶9星	0	0		60			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
30	坐骑达到6阶0星	0	0		61			0	0	0	0		0	0	0	[(26640,2),(26641,2),(25626,1)]	[(26640,2),(26641,2),(25626,1)]	0	0	0	0	0	0	0	0			
31	坐骑达到6阶1星	0	0		62			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
32	坐骑达到6阶2星	0	0		63			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
33	坐骑达到6阶3星	0	0		64			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
34	坐骑达到6阶4星	0	0		65			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
35	坐骑达到6阶5星	0	0		66			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
36	坐骑达到6阶6星	0	0		67			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
37	坐骑达到6阶7星	0	0		68			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
38	坐骑达到6阶8星	0	0		69			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
39	坐骑达到6阶9星	0	0		70			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
40	坐骑达到7阶0星	0	0		71			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
41	坐骑达到7阶1星	0	0		72			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
42	坐骑达到7阶2星	0	0		73			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
43	坐骑达到7阶3星	0	0		74			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
44	坐骑达到7阶4星	0	0		75			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
45	坐骑达到7阶5星	0	0		76			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
46	坐骑达到7阶6星	0	0		77			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
47	坐骑达到7阶7星	0	0		78			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
48	坐骑达到7阶8星	0	0		79			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
49	坐骑达到7阶9星	0	0		80			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
50	坐骑达到8阶0星	0	0		81			0	0	0	0		0	0	0			0	0	0	0	0	0	0	0			
51	坐骑神石培养100次	0	0		0			100	0	0	0		0	0	0	[(26032,1),(26640,1)]	[(26032,1),(26640,1)]	0	0	0	0	0	0	0	0		培养次数：	1000
52	坐骑神石培养300次	0	0		0			300	0	0	0		0	0	0	[(26119,1),(26641,1)]	[(26119,1),(26641,1)]	0	0	0	0	0	0	0	0		培养次数：	1000
53	坐骑神石培养500次	0	0		0			500	0	0	0		0	0	0	[(26267,1),(26643,1)]	[(26267,1),(26643,1)]	0	0	0	0	0	0	0	0		培养次数：	1000
54	合成8个5级宝石	0	0		0		(5,8)	0	0	0	0		0	0	0	[(25831,1),(26038,1)]	[(25831,10),(26363,1),(25828,1000000)]	0	0	0	0	1000000	0	0	0		合成个数：	8
