posId	turnOverOdds	roundEightPoint
卡牌位置Id	该位置被翻开概率	周围8个点坐标
1	388	[2,6,7]
2	388	[1,3,6,7,8]
3	524	[2,4,9,7,8]
4	524	[3,5,9,10,8]
5	524	[4,9,10]
6	388	[1,2,7,11,12]
7	388	[1,2,3,6,8,11,12,13]
8	524	[2,3,4,7,9,14,12,13]
9	524	[5,3,4,8,10,14,15,13]
10	524	[4,5,9,14,15]
11	388	[6,7,12,16,17]
12	388	[6,7,8,11,13,16,17,18]
13	524	[9,7,8,12,14,19,17,18]
14	524	[9,10,8,13,15,19,20,18]
15	524	[9,10,14,19,20]
16	287	[11,12,17,21,22]
17	287	[11,12,13,16,18,21,22,23]
18	388	[14,12,13,17,19,24,22,23]
19	388	[14,15,13,18,20,24,25,23]
20	388	[14,15,19,24,25]
21	201	[16,17,22]
22	201	[16,17,18,21,23]
23	272	[19,17,18,22,24]
24	272	[19,20,18,23,25]
25	272	[19,20,24]
