rewardId	cardType	cardIcon	rewardItemData	rewardOdds
奖励id	翻开卡牌类型（1：英雄2：女神）	卡牌图标资源	奖励道具数据(coding, cnt, odds)	出现概率(万分率)
1	1	5103	[(27471,12,3500),(27471,13,3000),(27471,14,2000),(27471,15,1000),(27486,5,500)]	666
2	1	5002	[(27471,12,3500),(27471,13,3000),(27471,14,2000),(27471,15,1000),(27486,5,500)]	666
3	1	4028	[(27471,12,3500),(27471,13,3000),(27471,14,2000),(27471,15,1000),(27486,5,500)]	666
4	2	tianxieS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	666
5	2	sheshouS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	666
6	2	tianchengS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
7	2	mojieS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
8	2	chunvS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
9	2	juxieS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
10	2	baiyangS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
11	2	jinniuS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
12	2	shuangyuS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
13	2	shiziS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
14	2	shuangziS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
15	2	shuipingS	[(27471,20,3500),(27471,22,2500),(27471,24,2000),(27471,25,1000),(26450,1,500),(27486,10,200)]	667
