mosaicLevel	needCrystal	lowList	upItem
镶嵌等级	需要一级卷轴	低级卷轴coding(可用作合成的卷轴coding列表)	升级需要最高级道具
0	1	[27709]	27709
1	2	[27710,27709]	27710
2	4	[27711,27710,27709]	27711
3	8	[27712,27711,27710,27709]	27712
4	16	[27713,27712,27711,27710,27709]	27713
5	32	[27714,27713,27712,27711,27710,27709]	27714
6	64	[27715,27714,27713,27712,27711,27710,27709]	27715
7	128	[27716,27715,27714,27713,27712,27711,27710,27709]	27716
8	256	[27717,27716,27715,27714,27713,27712,27711,27710,27709]	27717
9	512	[27718,27717,27716,27715,27714,27713,27712,27711,27710,27709]	27718
10	-1	[27709]	0
