rewardId	levelRange	rewardItems	pro	show	IsMsg
奖励id	等级区间	奖励	概率，万分比，每个等级区间分开算	展示	是否需要公告
1	(40,59)	[(27517,1)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
2	(40,59)	[(27516,1)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
3	(40,59)	[(29414,1)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
4	(40,59)	[(25600,2)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
5	(40,59)	[(25600,3)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
6	(40,59)	[(25600,5)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
7	(40,59)	[(26344,2)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
8	(40,59)	[(26344,3)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
9	(40,59)	[(26344,5)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
10	(40,59)	[(26343,2)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
11	(40,59)	[(26925,1)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
12	(40,59)	[(26924,1)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
13	(40,59)	[(27566,1)]	1000	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
14	(40,59)	[(27518,1)]	300	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	0
15	(40,59)	[(26042,1)]	200	[(27566,1),(25600,5),(27517,1),(27518,1),(26042,1)]	1
16	(60,79)	[(27517,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
17	(60,79)	[(27516,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
18	(60,79)	[(29414,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
19	(60,79)	[(29417,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
20	(60,79)	[(29416,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
21	(60,79)	[(29415,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
22	(60,79)	[(25837,2)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
23	(60,79)	[(25837,5)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
24	(60,79)	[(26144,2)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
25	(60,79)	[(26144,5)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
26	(60,79)	[(26479,2)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
27	(60,79)	[(26479,4)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
28	(60,79)	[(26936,5)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
29	(60,79)	[(26936,10)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
30	(60,79)	[(26933,2)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
31	(60,79)	[(26934,2)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
32	(60,79)	[(27566,1)]	1000	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
33	(60,79)	[(27518,1)]	300	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
34	(60,79)	[(27621,1)]	300	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	0
35	(60,79)	[(26042,1)]	200	[(25837,5),(27566,1),(27518,1),(27621,1),(26042,1)]	1
36	(80,179)	[(27517,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
37	(80,179)	[(27516,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
38	(80,179)	[(29414,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
39	(80,179)	[(29417,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
40	(80,179)	[(29416,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
41	(80,179)	[(29415,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
42	(80,179)	[(28034,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
43	(80,179)	[(28033,1)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
44	(80,179)	[(25837,2)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
45	(80,179)	[(25837,5)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
46	(80,179)	[(26144,2)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
47	(80,179)	[(26144,5)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
48	(80,179)	[(26479,2)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
49	(80,179)	[(26479,4)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
50	(80,179)	[(26302,2)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
51	(80,179)	[(26936,5)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
52	(80,179)	[(26936,10)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
53	(80,179)	[(26933,2)]	1000	[(26317,1),(28563,1),(28571,1),(27621,1),(28035,1)]	0
