id	name	nomalItems	extraItems	rewardCoin	showReward
奖励id	奖励名称	普通奖励	额外奖励	金币奖励	客户端显示
1	赏	[(26660,1)]		0	[(26660,1)]
2	一秀	[(26660,2),(25722,1)]		200000	[(26660,2),(25722,1),(25828,200000)]
3	二举	[(26660,3),(25731,1)]		400000	[(26660,3),(25731,1),(25828,400000)]
4	四进	[(26660,4),(25740,1)]		600000	[(26660,4),(25740,1),(25828,600000)]
5	三红	[(26661,2),(25740,1)]		800000	[(26661,2),(25740,1),(25828,800000)]
6	对堂	[(26661,3),(25749,1)]	[(26450,1)]	1200000	[(26661,3),(25749,1),(26450,1),(25828,1200000)]
7	状元	[(26661,4),(25758,1)]	[(26450,2)]	2000000	[(26661,4),(25758,1),(26450,2),(25828,2000000)]
8	五王	[(26661,5),(25767,1)]	[(26450,3)]	5000000	[(26661,5),(25767,1),(26450,3),(25828,5000000)]
9	金花	[(26662,5),(25776,1)]	[(26450,4)]	10000000	[(26662,5),(25776,1),(26450,4),(25828,10000000)]
