rewardId	levelRangeId	levelRange	rewardItem	rateValue	isPrecious
奖励ID	等级段ID	等级段	随机奖励	随即概率	是否珍贵奖励
1	1	[30,79]	(28265,1)	100	1
2	1	[30,79]	(28266,1)	100	1
3	1	[30,79]	(26144,20)	1500	0
4	1	[30,79]	(25837,20)	1500	0
5	1	[30,79]	(27566,5)	1000	0
6	1	[30,79]	(27167,5)	500	0
7	1	[30,79]	(26676,1)	500	0
8	1	[30,79]	(25970,20)	1200	0
9	1	[30,79]	(25831,20)	1200	0
10	1	[30,79]	(26925,5)	1000	0
11	1	[30,79]	(26924,5)	1000	0
12	1	[30,79]	(26042,1)	1000	0
13	1	[30,79]	(26043,20)	500	0
14	1	[30,79]	(28267,1)	500	0
15	1	[30,79]	(27518,1)	2000	0
16	1	[30,79]	(27519,1)	1500	0
17	1	[30,79]	(27520,1)	700	0
18	1	[30,79]	(27521,1)	300	1
19	1	[30,79]	(27618,1)	200	1
20	1	[30,79]	(27621,1)	1000	0
21	1	[30,79]	(27622,1)	1500	0
22	1	[30,79]	(27623,1)	700	0
23	1	[30,79]	(27624,1)	300	1
24	1	[30,79]	(27625,1)	200	1
25	1	[30,79]	(25600,20)	1000	0
26	1	[30,79]	(26344,20)	1000	0
27	1	[30,79]	(26343,20)	1000	0
28	1	[30,79]	(26677,10)	800	0
29	2	[80,179]	(28265,1)	50	1
30	2	[80,179]	(28266,1)	50	1
31	2	[80,179]	(28268,1)	50	1
32	2	[80,179]	(27880,1)	50	1
33	2	[80,179]	(26298,5)	500	0
34	2	[80,179]	(26302,20)	1000	0
35	2	[80,179]	(26272,20)	1000	0
36	2	[80,179]	(26485,5)	500	0
37	2	[80,179]	(26484,6)	1500	0
38	2	[80,179]	(26677,10)	800	0
39	2	[80,179]	(26306,5)	500	0
40	2	[80,179]	(26303,5)	500	0
41	2	[80,179]	(26934,10)	1000	0
42	2	[80,179]	(27038,1)	50	1
43	2	[80,179]	(26932,20)	500	0
44	2	[80,179]	(26936,20)	1000	0
45	2	[80,179]	(27041,6)	1000	0
46	2	[80,179]	(27042,6)	1000	0
47	2	[80,179]	(27518,1)	1000	0
48	2	[80,179]	(27519,1)	1500	0
49	2	[80,179]	(27520,1)	800	0
50	2	[80,179]	(27521,1)	100	1
51	2	[80,179]	(27618,1)	50	1
52	2	[80,179]	(27621,1)	1000	0
53	2	[80,179]	(27622,1)	1500	0
54	2	[80,179]	(27623,1)	500	0
55	2	[80,179]	(27624,1)	100	1
56	2	[80,179]	(27625,1)	50	1
57	2	[80,179]	(28030,1)	1500	0
58	2	[80,179]	(28031,1)	1000	0
59	2	[80,179]	(28032,1)	300	1
60	2	[80,179]	(28042,1)	100	1
61	2	[80,179]	(28043,1)	50	1
62	2	[80,179]	(26144,15)	1500	0
63	2	[80,179]	(25837,15)	1500	0
64	2	[80,179]	(27587,15)	1000	0
65	2	[80,179]	(27566,5)	500	0
66	2	[80,179]	(27167,5)	500	0
67	2	[80,179]	(26676,1)	800	0
68	2	[80,179]	(25970,20)	1500	0
69	2	[80,179]	(25831,20)	1500	0
70	2	[80,179]	(26925,5)	500	0
71	2	[80,179]	(26924,5)	500	0
72	2	[80,179]	(26043,20)	1000	0
73	2	[80,179]	(28267,1)	500	0
74	2	[80,179]	(27669,15)	1000	0
75	2	[80,179]	(28234,5)	500	0
