key	levelRangeID	levelRange	needDayBuyUnbindRMB_Q	items
年月日	等级区间区间索引	等级区间，闭区间	需要当日购买的神石数	奖励
(2015,4,8)	1	(30,79)	100	[(26043,10),(26044,1)]
(2015,4,9)	1	(30,79)	200	[(26043,15),(26026,1)]
(2015,4,10)	1	(30,79)	300	[(26043,20),(26925,5),(26227,1)]
(2015,4,11)	1	(30,79)	400	[(26043,25),(25837,10),(26228,1)]
(2015,4,12)	1	(30,79)	500	[(26043,30),(26144,25),(26228,1)]
(2015,4,13)	1	(30,79)	600	[(26043,35),(27566,5),(26229,1)]
(2015,4,14)	1	(30,79)	1000	[(26043,40),(26676,1),(26229,1)]
(2015,4,8)	2	(80,179)	100	[(26043,10),(28035,1)]
(2015,4,9)	2	(80,179)	200	[(26043,15),(28030,1)]
(2015,4,10)	2	(80,179)	300	[(26043,20),(26485,2),(28030,1)]
(2015,4,11)	2	(80,179)	400	[(26043,25),(26934,5),(28031,1)]
(2015,4,12)	2	(80,179)	500	[(26043,30),(26298,5),(28031,1)]
(2015,4,13)	2	(80,179)	600	[(26043,35),(28234,5),(28032,1)]
(2015,4,14)	2	(80,179)	1000	[(26043,40),(27710,1),(28032,1)]
