serverType	rank	needValue	rewardItems	rankImg	rewardItemsPreview
服务器类型	排名	需要消费值	奖励	是否显示	客户端预览
1	1	1000	[(28260,60),(25600,100),(27521,1)]	KHPD_TextDYM	[(28260,60),(25600,100),(27521,1)]
1	2	1000	[(28260,48),(25600,80),(27520,1)]	KHPD_TextDRM	[(28260,48),(25600,80),(27520,1)]
1	3	1000	[(28260,42),(25600,60),(27519,1)]	KHPD_TextDSM	[(28260,42),(25600,60),(27519,1)]
1	4	1000	[(28260,36),(25600,50),(27518,1)]	KHPD_TextD4M	[(28260,36),(25600,50),(27518,1)]
1	5	1000	[(28260,30),(25600,40),(27518,1)]	KHPD_TextD5M	[(28260,30),(25600,40),(27518,1)]
1	6	1000	[(28260,24),(25600,30),(27518,1)]	0	[(28260,24),(25600,30),(27518,1)]
1	7	1000	[(28260,18),(25600,25),(27518,1)]	0	[(28260,18),(25600,25),(27518,1)]
1	8	1000	[(28260,15),(25600,20),(27518,1)]	0	[(28260,15),(25600,20),(27518,1)]
1	9	1000	[(28260,12),(25600,15),(27518,1)]	0	[(28260,12),(25600,15),(27518,1)]
1	10	1000	[(28260,10),(25600,10),(27518,1)]	0	[(28260,10),(25600,10),(27518,1)]
2	1	1000	[(28260,60),(25600,100),(27624,1)]	KHPD_TextDYM	[(28260,60),(25600,100),(27624,1)]
2	2	1000	[(28260,48),(25600,80),(27623,1)]	KHPD_TextDRM	[(28260,48),(25600,80),(27623,1)]
2	3	1000	[(28260,42),(25600,60),(27622,1)]	KHPD_TextDSM	[(28260,42),(25600,60),(27622,1)]
2	4	1000	[(28260,36),(25600,50),(27621,1)]	KHPD_TextD4M	[(28260,36),(25600,50),(27621,1)]
2	5	1000	[(28260,30),(25600,40),(27621,1)]	KHPD_TextD5M	[(28260,30),(25600,40),(27621,1)]
2	6	1000	[(28260,24),(25600,30),(27621,1)]	0	[(28260,24),(25600,30),(27621,1)]
2	7	1000	[(28260,18),(25600,25),(27621,1)]	0	[(28260,18),(25600,25),(27621,1)]
2	8	1000	[(28260,15),(25600,20),(27621,1)]	0	[(28260,15),(25600,20),(27621,1)]
2	9	1000	[(28260,12),(25600,15),(27621,1)]	0	[(28260,12),(25600,15),(27621,1)]
2	10	1000	[(28260,10),(25600,10),(27621,1)]	0	[(28260,10),(25600,10),(27621,1)]
3	1	1000	[(28260,60),(25600,100),(27041,48)]	KHPD_TextDYM	[(28260,60),(25600,100),(27041,48)]
3	2	1000	[(28260,48),(25600,80),(27041,24)]	KHPD_TextDRM	[(28260,48),(25600,80),(27041,24)]
3	3	1000	[(28260,42),(25600,60),(27041,12)]	KHPD_TextDSM	[(28260,42),(25600,60),(27041,12)]
3	4	1000	[(28260,36),(25600,50),(27041,6)]	KHPD_TextD4M	[(28260,36),(25600,50),(27041,6)]
3	5	1000	[(28260,30),(25600,40),(27041,6)]	KHPD_TextD5M	[(28260,30),(25600,40),(27041,6)]
3	6	1000	[(28260,24),(25600,30),(27041,6)]	0	[(28260,24),(25600,30),(27041,6)]
3	7	1000	[(28260,18),(25600,25),(27041,6)]	0	[(28260,18),(25600,25),(27041,6)]
3	8	1000	[(28260,15),(25600,20),(27041,6)]	0	[(28260,15),(25600,20),(27041,6)]
3	9	1000	[(28260,12),(25600,15),(27041,6)]	0	[(28260,12),(25600,15),(27041,6)]
3	10	1000	[(28260,10),(25600,10),(27041,6)]	0	[(28260,10),(25600,10),(27041,6)]
4	1	1000	[(28260,60),(25600,100),(27041,48)]	KHPD_TextDYM	[(28260,60),(25600,100),(27041,48)]
4	2	1000	[(28260,48),(25600,80),(27041,24)]	KHPD_TextDRM	[(28260,48),(25600,80),(27041,24)]
4	3	1000	[(28260,42),(25600,60),(27041,12)]	KHPD_TextDSM	[(28260,42),(25600,60),(27041,12)]
4	4	1000	[(28260,36),(25600,50),(27041,6)]	KHPD_TextD4M	[(28260,36),(25600,50),(27041,6)]
4	5	1000	[(28260,30),(25600,40),(27041,6)]	KHPD_TextD5M	[(28260,30),(25600,40),(27041,6)]
4	6	1000	[(28260,24),(25600,30),(27041,6)]	0	[(28260,24),(25600,30),(27041,6)]
4	7	1000	[(28260,18),(25600,25),(27041,6)]	0	[(28260,18),(25600,25),(27041,6)]
4	8	1000	[(28260,15),(25600,20),(27041,6)]	0	[(28260,15),(25600,20),(27041,6)]
4	9	1000	[(28260,12),(25600,15),(27041,6)]	0	[(28260,12),(25600,15),(27041,6)]
4	10	1000	[(28260,10),(25600,10),(27041,6)]	0	[(28260,10),(25600,10),(27041,6)]
5	1	1000	[(28260,60),(25600,100),(27041,48)]	KHPD_TextDYM	[(28260,60),(25600,100),(27041,48)]
5	2	1000	[(28260,48),(25600,80),(27041,24)]	KHPD_TextDRM	[(28260,48),(25600,80),(27041,24)]
5	3	1000	[(28260,42),(25600,60),(27041,12)]	KHPD_TextDSM	[(28260,42),(25600,60),(27041,12)]
5	4	1000	[(28260,36),(25600,50),(27041,6)]	KHPD_TextD4M	[(28260,36),(25600,50),(27041,6)]
5	5	1000	[(28260,30),(25600,40),(27041,6)]	KHPD_TextD5M	[(28260,30),(25600,40),(27041,6)]
5	6	1000	[(28260,24),(25600,30),(27041,6)]	0	[(28260,24),(25600,30),(27041,6)]
5	7	1000	[(28260,18),(25600,25),(27041,6)]	0	[(28260,18),(25600,25),(27041,6)]
5	8	1000	[(28260,15),(25600,20),(27041,6)]	0	[(28260,15),(25600,20),(27041,6)]
5	9	1000	[(28260,12),(25600,15),(27041,6)]	0	[(28260,12),(25600,15),(27041,6)]
5	10	1000	[(28260,10),(25600,10),(27041,6)]	0	[(28260,10),(25600,10),(27041,6)]
