rewardId	rangeId	levelRange	itemIndex	item	isPrecious	rateValue	previewItem
奖励ID	等级区段ID	等级区段	转盘index	奖励物品(coding,cnt)	是否珍贵物品(0-否 1-是)	抽奖概率	奖励预览
1	1	[1,179]	1	(37040,1)	1	200	(37040,1)
2	1	[1,179]	3	(37041,1)	1	350	(37041,1)
3	1	[1,179]	5	(37039,1)	1	100	(37039,1)
4	1	[1,179]	2	(28234,15)	0	1000	(28234,15)
5	1	[1,179]	4	(26298,20)	0	1200	(26298,20)
6	1	[1,179]	6	(28251,1)	0	1500	(28251,1)
7	1	[1,179]	7	(28254,1)	1	5	(28254,1)
8	1	[1,179]	9	(27492,1)	1	20	(27492,1)
9	1	[1,179]	11	(28269,1)	1	5	(28269,1)
10	1	[1,179]	8	(28252,1)	1	1200	(28252,1)
11	1	[1,179]	10	(28250,1)	0	2000	(28250,1)
12	1	[1,179]	12	(27710,1)	1	500	(27710,1)
