coding	needCoding	needItemCnt	limitCnt	needLevel	needWorldLevel
物品coding	兑换需要coding	兑换需要物品数量	限购个数（填0为不限购）	需要角色等级	需要世界等级
37042	28260	188	1	65	1
27678	28260	400	1	100	1
27680	28260	300	1	100	1
27681	28260	300	1	100	1
27682	28260	300	1	100	1
27683	28260	300	1	100	1
27679	28260	450	1	100	1
27684	28260	320	1	100	1
27685	28260	320	1	100	1
27686	28260	320	1	100	1
27687	28260	320	1	100	1
26315	28260	4	200	80	1
26333	28260	18	200	80	1
26308	28260	4	200	80	1
26326	28260	18	200	80	1
27571	28260	800	1	100	1
27569	28260	640	1	100	1
27874	28260	8	150	80	1
27875	28260	8	50	80	1
27876	28260	8	100	80	1
27877	28260	8	100	80	1
27878	28260	8	100	80	1
26753	28260	80	1	45	1
26754	28260	80	1	45	1
26755	28260	80	1	45	1
26756	28260	80	1	45	1
26757	28260	80	1	45	1
26758	28260	80	1	45	1
27251	28260	60	1	60	1
27252	28260	60	1	60	1
27253	28260	60	1	60	1
27254	28260	60	1	60	1
27255	28260	60	1	60	1
27256	28260	60	1	60	1
26026	28260	12	0	30	1
26227	28260	15	0	60	1
