rewardId	rankRange	rewardItem	rewardExp	rewardItemShow
奖励ID	排名区间	道具奖励	历练值	客户端展示
1	[1,1]	[(28033,3),(27669,5),(29114,50),(29230,1)]	500	[(29362,500)(28033,3),(27669,5),(29114,50),(29230,1)]
2	[2,2]	[(28033,3),(27669,4),(29114,45)]	450	[(29362,450)(28033,3),(27669,4),(29114,45)]
3	[3,3]	[(28033,3),(27669,4),(29114,40)]	400	[(29362,400)(28033,3),(27669,4),(29114,40)]
4	[4,4]	[(28033,3),(27669,4),(29114,36)]	375	[(29362,375)(28033,3),(27669,4),(29114,36)]
5	[5,5]	[(28033,2),(27669,3),(29114,32)]	350	[(29362,350)(28033,2),(27669,3),(29114,32)]
6	[6,6]	[(28033,2),(27669,3),(29114,30)]	325	[(29362,325)(28033,2),(27669,3),(29114,30)]
7	[7,7]	[(28033,2),(27669,3),(29114,28)]	300	[(29362,300)(28033,2),(27669,3),(29114,28)]
8	[8,8]	[(28033,2),(27669,3),(29114,26)]	275	[(29362,275)(28033,2),(27669,3),(29114,26)]
9	[9,9]	[(28033,2),(27669,3),(29114,24)]	250	[(29362,250)(28033,2),(27669,3),(29114,24)]
10	[10,10]	[(28033,2),(27669,3),(29114,22)]	225	[(29362,225)(28033,2),(27669,3),(29114,22)]
11	[11,50]	[(28033,1),(27669,2),(29114,20)]	200	[(29362,200)(28033,1),(27669,2),(29114,20)]
