goodsId	goodsType	goodsName	serverType	kaifuDayRange	limitCnt	needLevel	dayBuyRMBLimit	originalPrice	needUnbindRMB	items	realItems	rewardMoney	rewardRMB
商品ID	商品类型（关联CircleActivity.activeType）	物品名称	服务器区段(取决于开服天数)	开服天数区段	限购数量	购买等级限制	每日充值神石限购条件	原价	充值神石价格	礼包物品(客户端)	奖励物品	金币	奖励神石
1	1	坐骑超值大礼一	1	[-100,999]	5	30	0	380	200	[(25600,36),(27368,1),(25828,288000)]	[(25600,36),(27368,1)]	288000	0
2	2	坐骑超值大礼二	1	[-100,999]	3	30	0	1250	600	[(25600,120),(27369,1),(25828,888000)]	[(25600,120),(27369,1)]	888000	0
3	3	坐骑超值大礼三	1	[-100,999]	1	30	0	4722	2400	[(25600,450),(27490,1),(25828,1880000)]	[(25600,450),(27490,1)]	1880000	0
4	4	坐骑特惠礼包	1	[-100,30]	1	30	2500	11212	5000	[(25600,1000),(27491,1)]	[(25600,1000),(27491,1)]	0	0
5	4	坐骑特惠礼包	2	[31,60]	1	30	2500	12212	5000	[(25600,1100),(27491,1)]	[(25600,1100),(27491,1)]	0	0
6	4	坐骑特惠礼包	3	[61,120]	1	30	2500	13212	5000	[(25600,1200),(27491,1)]	[(25600,1200),(27491,1)]	0	0
7	4	坐骑特惠礼包	4	[121,999]	1	30	2500	14212	5000	[(25600,1300),(27491,1)]	[(25600,1300),(27491,1)]	0	0
8	5	宝石超值大礼一	1	[-100,999]	5	40	0	270	200	[(27518,2),(27517,1),(27368,1),(25828,388000)]	[(27518,2),(27517,1),(27368,1)]	388000	0
9	6	宝石超值大礼二	1	[-100,999]	3	40	0	722	540	[(27519,3),(27518,1),(27369,1),(25828,888000)]	[(27519,3),(27518,1),(27369,1)]	888000	0
10	7	宝石超值大礼三	1	[-100,999]	1	40	0	2910	2180	[(27521,3),(27520,1),(27490,1),(25828,1880000)]	[(27521,3),(27520,1),(27490,1)]	1880000	0
11	8	宝石特惠礼包	1	[-100,30]	1	40	2500	6588	5000	[(27619,1),(27618,1),(27520,2),(27491,1)]	[(27619,1),(27618,1),(27520,2),(27491,1)]	0	0
12	8	宝石特惠礼包	2	[31,60]	1	40	2500	6972	5000	[(27619,1),(27618,1),(27520,3),(27491,1)]	[(27619,1),(27618,1),(27520,3),(27491,1)]	0	0
13	8	宝石特惠礼包	3	[61,120]	1	40	2500	7356	5000	[(27619,1),(27618,1),(27520,4),(27491,1)]	[(27619,1),(27618,1),(27520,4),(27491,1)]	0	0
14	8	宝石特惠礼包	4	[121,999]	1	40	2500	13920	10000	[(27618,1),(26047,12000)]	[(27618,1)]	0	12000
15	9	许愿超值大礼一	1	[-100,999]	5	30	0	260	200	[(26450,12),(27368,1),(25828,388000)]	[(26450,12),(27368,1)]	388000	0
16	10	许愿超值大礼二	1	[-100,999]	3	30	0	770	600	[(26450,36),(27369,1),(25828,888000)]	[(26450,36),(27369,1)]	888000	0
17	11	许愿超值大礼三	1	[-100,999]	1	30	0	3022	2400	[(26450,140),(27490,1),(25828,1880000)]	[(26450,140),(27490,1)]	1880000	0
18	12	许愿特惠礼包	1	[-100,30]	1	30	2500	7212	5000	[(26450,300),(27491,1)]	[(26450,300),(27491,1)]	0	0
19	12	许愿特惠礼包	2	[31,60]	1	30	2500	7812	5000	[(26450,330),(27491,1)]	[(26450,330),(27491,1)]	0	0
20	12	许愿特惠礼包	3	[61,120]	1	30	2500	8412	5000	[(26450,360),(27491,1)]	[(26450,360),(27491,1)]	0	0
21	12	许愿特惠礼包	4	[121,999]	1	30	2500	9012	5000	[(26450,400),(27491,1)]	[(26450,400),(27491,1)]	0	0
22	13	占卜超值大礼一	1	[-100,999]	5	50	0	420	300	[(26042,2),(27368,1),(25828,388000)]	[(26042,2),(27368,1)]	388000	0
23	14	占卜超值大礼二	1	[-100,999]	3	50	0	1050	700	[(26042,5),(27369,1),(25828,888000)]	[(26042,5),(27369,1)]	888000	0
24	15	占卜超值大礼三	1	[-100,999]	1	50	0	2622	1560	[(26042,12),(27490,1),(25828,1880000)]	[(26042,12),(27490,1)]	1880000	0
25	16	占卜特惠礼包	1	[-100,30]	1	50	2500	9212	5000	[(26042,30),(27035,1),(27491,1)]	[(26042,30),(27035,1),(27491,1)]	0	0
26	16	占卜特惠礼包	2	[31,60]	1	50	2500	9812	5000	[(26042,33),(27035,1),(27491,1)]	[(26042,33),(27035,1),(27491,1)]	0	0
27	16	占卜特惠礼包	3	[61,120]	1	50	2500	10412	5000	[(26042,36),(27035,1),(27491,1)]	[(26042,36),(27035,1),(27491,1)]	0	0
28	16	占卜特惠礼包	4	[121,999]	1	50	2500	11212	5000	[(26042,40),(27035,1),(27491,1)]	[(26042,40),(27035,1),(27491,1)]	0	0
29	17	符文超值大礼一	1	[-100,999]	5	60	0	320	225	[(27621,2),(26267,1),(27368,1),(25828,388000)]	[(27621,2),(26267,1),(27368,1)]	388000	0
30	18	符文超值大礼二	1	[-100,999]	3	60	0	890	600	[(27622,3),(27621,1),(27369,1),(25828,888000)]	[(27622,3),(27621,1),(27369,1)]	888000	0
31	19	符文超值大礼三	1	[-100,999]	1	60	0	3582	2500	[(27624,3),(27623,1),(27490,1),(25828,1880000)]	[(27624,3),(27623,1),(27490,1)]	1880000	0
