girlId	level	girlName	inheritGrade	maxLevel	maxGrade	levelUpMaxExp	levelUpNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
星灵ID	星灵等级	星灵名字	传承后的阶级	等级上限	阶级上限	升级最大经验值	升级需要道具	生命(升级增加属性)	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	金牛座星灵	1	50	5	200	(26933,1)	10800	0	0	3600	0	3600	0	100	0	0	0	0	100	0	0
1	2	金牛座星灵	1	50	5	390	(26933,1)	11880	0	0	3960	0	3960	0	100	0	0	0	0	100	0	0
1	3	金牛座星灵	1	50	5	580	(26933,1)	12960	0	0	4320	0	4320	0	100	0	0	0	0	100	0	0
1	4	金牛座星灵	1	50	5	770	(26933,1)	14040	0	0	4680	0	4680	0	100	0	0	0	0	100	0	0
1	5	金牛座星灵	1	50	5	960	(26933,1)	15120	0	0	5040	0	5040	0	100	0	0	0	0	100	0	0
1	6	金牛座星灵	1	50	5	1150	(26933,1)	16200	0	0	5400	0	5400	0	100	0	0	0	0	100	0	0
1	7	金牛座星灵	1	50	5	1340	(26933,1)	17280	0	0	5760	0	5760	0	100	0	0	0	0	100	0	0
1	8	金牛座星灵	1	50	5	1530	(26933,1)	18360	0	0	6120	0	6120	0	100	0	0	0	0	100	0	0
1	9	金牛座星灵	1	50	5	1720	(26933,1)	19440	0	0	6480	0	6480	0	100	0	0	0	0	100	0	0
1	10	金牛座星灵	1	50	5	1910	(26933,1)	20055	0	0	6685	0	6685	0	100	0	0	0	0	100	0	0
1	11	金牛座星灵	2	50	5	2100	(26933,1)	21135	0	0	7045	0	7045	0	100	0	0	0	0	100	0	0
1	12	金牛座星灵	2	50	5	2290	(26933,1)	22215	0	0	7405	0	7405	0	100	0	0	0	0	100	0	0
1	13	金牛座星灵	2	50	5	2480	(26933,1)	23295	0	0	7765	0	7765	0	100	0	0	0	0	100	0	0
1	14	金牛座星灵	2	50	5	2670	(26933,1)	24375	0	0	8125	0	8125	0	100	0	0	0	0	100	0	0
1	15	金牛座星灵	2	50	5	2860	(26933,1)	25455	0	0	8485	0	8485	0	100	0	0	0	0	100	0	0
1	16	金牛座星灵	2	50	5	3050	(26933,1)	26535	0	0	8845	0	8845	0	100	0	0	0	0	100	0	0
1	17	金牛座星灵	2	50	5	3240	(26933,1)	27615	0	0	9205	0	9205	0	100	0	0	0	0	100	0	0
1	18	金牛座星灵	2	50	5	3430	(26933,1)	28695	0	0	9565	0	9565	0	100	0	0	0	0	100	0	0
1	19	金牛座星灵	2	50	5	3620	(26933,1)	29775	0	0	9925	0	9925	0	100	0	0	0	0	100	0	0
1	20	金牛座星灵	2	50	5	3810	(26933,1)	30390	0	0	10130	0	10130	0	100	0	0	0	0	100	0	0
1	21	金牛座星灵	3	50	5	5010	(26933,1)	31470	0	0	10490	0	10490	0	100	0	0	0	0	100	0	0
1	22	金牛座星灵	3	50	5	6210	(26933,1)	32550	0	0	10850	0	10850	0	100	0	0	0	0	100	0	0
1	23	金牛座星灵	3	50	5	7410	(26933,1)	33630	0	0	11210	0	11210	0	100	0	0	0	0	100	0	0
