cnt	needRMB	rewardStarLucky
虔诚占星次数	消耗神石	奖励星运
1	10	20
2	10	20
3	10	20
4	10	20
5	10	20
6	10	20
7	10	20
8	10	20
9	10	20
10	10	20
11	20	20
12	20	20
13	20	20
14	20	20
15	20	20
16	20	20
17	20	20
18	20	20
19	20	20
20	20	20
21	30	20
22	30	20
23	30	20
24	30	20
25	30	20
26	30	20
27	30	20
28	30	20
29	30	20
30	30	20
31	30	20
32	30	20
33	30	20
34	30	20
35	30	20
36	30	20
37	30	20
38	30	20
39	30	20
40	30	20
41	30	20
42	30	20
43	30	20
44	30	20
45	30	20
46	30	20
47	30	20
48	30	20
49	30	20
50	30	20
51	30	20
52	30	20
53	30	20
54	30	20
55	30	20
56	30	20
57	30	20
58	30	20
59	30	20
60	30	20
61	30	20
62	30	20
63	30	20
64	30	20
65	30	20
66	30	20
67	30	20
68	30	20
69	30	20
70	30	20
71	30	20
72	30	20
73	30	20
74	30	20
75	30	20
76	30	20
77	30	20
78	30	20
79	30	20
80	30	20
81	30	20
82	30	20
83	30	20
84	30	20
85	30	20
86	30	20
87	30	20
88	30	20
89	30	20
90	30	20
91	30	20
92	30	20
93	30	20
94	30	20
95	30	20
96	30	20
97	30	20
98	30	20
99	30	20
100	30	20
