sealId	sealLevel	sealName	maxLevel	levelUpNeedExp	levelUpNeedItem	itemAddExp	luckyCoding	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
刻印ID	刻印等级	刻印名称	最大等级	升级到下级所需要的经验	升级需要的道具	道具添加的经验	魂炼幸运石	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	放逐刻印	20	7	(26936,1)	1	28937	3600	0	0	1200	0	1200	0	100	0	0	0	0	100	0	0
1	2	放逐刻印	20	23	(26936,1)	1	28937	3819	0	0	1273	0	1273	0	200	0	0	0	0	200	0	0
1	3	放逐刻印	20	53	(26936,1)	1	28937	4149	0	0	1383	0	1383	0	400	0	0	0	0	400	0	0
1	4	放逐刻印	20	100	(26936,1)	1	28937	4518	0	0	1506	0	1506	0	600	0	0	0	0	600	0	0
1	5	放逐刻印	20	162	(26936,1)	1	28937	4839	0	0	1613	0	1613	0	800	0	0	0	0	800	0	0
1	6	放逐刻印	20	244	(26936,1)	1	28937	5256	0	0	1752	0	1752	0	1000	0	0	0	0	1000	0	0
1	7	放逐刻印	20	352	(26936,1)	1	28937	5796	0	0	1932	0	1932	0	1200	0	0	0	0	1200	0	0
1	8	放逐刻印	20	495	(26936,1)	1	28937	6495	0	0	2165	0	2165	0	1400	0	0	0	0	1400	0	0
1	9	放逐刻印	20	684	(26936,1)	1	28937	7398	0	0	2466	0	2466	0	1600	0	0	0	0	1600	0	0
1	10	放逐刻印	20	935	(26936,1)	1	28937	8496	0	0	2832	0	2832	0	1800	0	0	0	0	1800	0	0
1	11	放逐刻印	20	1267	(26936,1)	1	28937	9888	0	0	3296	0	3296	0	2000	0	0	0	0	2000	0	0
1	12	放逐刻印	20	1707	(26936,1)	1	28937	11652	0	0	3884	0	3884	0	2300	0	0	0	0	2300	0	0
1	13	放逐刻印	20	2289	(26936,1)	1	28937	13881	0	0	4627	0	4627	0	2600	0	0	0	0	2600	0	0
1	14	放逐刻印	20	3061	(26936,1)	1	28937	16290	0	0	5430	0	5430	0	2900	0	0	0	0	2900	0	0
1	15	放逐刻印	20	4083	(26936,1)	1	28937	19158	0	0	6386	0	6386	0	3300	0	0	0	0	3300	0	0
1	16	放逐刻印	20	5437	(26936,1)	1	28937	22536	0	0	7512	0	7512	0	3700	0	0	0	0	3700	0	0
1	17	放逐刻印	20	7231	(26936,1)	1	28937	26445	0	0	8815	0	8815	0	4000	0	0	0	0	4000	0	0
1	18	放逐刻印	20	9608	(26936,1)	1	28937	30879	0	0	10293	0	10293	0	4500	0	0	0	0	4500	0	0
1	19	放逐刻印	20	12758	(26936,1)	1	28937	35760	0	0	11920	0	11920	0	5000	0	0	0	0	5000	0	0
1	20	放逐刻印	20	26382	(26936,1)	1	28937	41124	0	0	13708	0	13708	0	5500	0	0	0	0	5500	0	0
2	1	虚空刻印	20	8	(26936,1)	1	28937	3900	0	0	1300	0	1300	0	100	0	0	0	0	100	0	0
2	2	虚空刻印	20	26	(26936,1)	1	28937	4137	0	0	1379	0	1379	0	200	0	0	0	0	200	0	0
2	3	虚空刻印	20	59	(26936,1)	1	28937	4494	0	0	1498	0	1498	0	400	0	0	0	0	400	0	0
2	4	虚空刻印	20	110	(26936,1)	1	28937	4896	0	0	1632	0	1632	0	600	0	0	0	0	600	0	0
2	5	虚空刻印	20	178	(26936,1)	1	28937	5244	0	0	1748	0	1748	0	800	0	0	0	0	800	0	0
2	6	虚空刻印	20	268	(26936,1)	1	28937	5697	0	0	1899	0	1899	0	1000	0	0	0	0	1000	0	0
2	7	虚空刻印	20	387	(26936,1)	1	28937	6282	0	0	2094	0	2094	0	1200	0	0	0	0	1200	0	0
2	8	虚空刻印	20	544	(26936,1)	1	28937	7038	0	0	2346	0	2346	0	1400	0	0	0	0	1400	0	0
2	9	虚空刻印	20	752	(26936,1)	1	28937	8016	0	0	2672	0	2672	0	1600	0	0	0	0	1600	0	0
2	10	虚空刻印	20	1028	(26936,1)	1	28937	9207	0	0	3069	0	3069	0	1800	0	0	0	0	1800	0	0
2	11	虚空刻印	20	1393	(26936,1)	1	28937	10716	0	0	3572	0	3572	0	2000	0	0	0	0	2000	0	0
2	12	虚空刻印	20	1877	(26936,1)	1	28937	12627	0	0	4209	0	4209	0	2300	0	0	0	0	2300	0	0
2	13	虚空刻印	20	2518	(26936,1)	1	28937	15042	0	0	5014	0	5014	0	2600	0	0	0	0	2600	0	0
2	14	虚空刻印	20	3367	(26936,1)	1	28937	17652	0	0	5884	0	5884	0	2900	0	0	0	0	2900	0	0
2	15	虚空刻印	20	4491	(26936,1)	1	28937	20760	0	0	6920	0	6920	0	3300	0	0	0	0	3300	0	0
2	16	虚空刻印	20	5981	(26936,1)	1	28937	24420	0	0	8140	0	8140	0	3700	0	0	0	0	3700	0	0
2	17	虚空刻印	20	7955	(26936,1)	1	28937	28656	0	0	9552	0	9552	0	4000	0	0	0	0	4000	0	0
2	18	虚空刻印	20	10570	(26936,1)	1	28937	33459	0	0	11153	0	11153	0	4500	0	0	0	0	4500	0	0
2	19	虚空刻印	20	14035	(26936,1)	1	28937	38748	0	0	12916	0	12916	0	5000	0	0	0	0	5000	0	0
2	20	虚空刻印	20	26382	(26936,1)	1	28937	44559	0	0	14853	0	14853	0	5500	0	0	0	0	5500	0	0
3	1	天火刻印	20	9	(26936,1)	1	28937	4200	0	0	1400	0	1400	0	100	0	0	0	0	100	0	0
3	2	天火刻印	20	29	(26936,1)	1	28937	4455	0	0	1485	0	1485	0	200	0	0	0	0	200	0	0
3	3	天火刻印	20	66	(26936,1)	1	28937	4839	0	0	1613	0	1613	0	400	0	0	0	0	400	0	0
3	4	天火刻印	20	122	(26936,1)	1	28937	5271	0	0	1757	0	1757	0	600	0	0	0	0	600	0	0
