rewardId	rangeId	levelRange	item	rateValue	isPrecious	isShow
奖励ID	区段ID	等级区段	奖励(coding,cnt)	随机概率	是否大奖 0-否 1-是	预览(0-不，1-预览)
1	1	[30,59]	(27105,1)	10	1	1
2	1	[30,59]	(27619,1)	20	1	1
3	1	[30,59]	(27618,1)	50	1	1
4	1	[30,59]	(27521,1)	100	1	1
5	1	[30,59]	(27520,1)	250	1	1
6	1	[30,59]	(27519,1)	500	1	1
7	1	[30,59]	(27518,1)	2000	0	0
8	1	[30,59]	(25600,1)	1000	0	0
9	1	[30,59]	(25657,1)	800	0	0
10	1	[30,59]	(26042,1)	800	0	1
11	1	[30,59]	(27566,1)	800	0	1
12	1	[30,59]	(26343,10)	800	0	0
13	1	[30,59]	(26344,10)	800	0	0
14	1	[30,59]	(26925,4)	800	0	1
15	1	[30,59]	(26924,4)	800	0	1
16	2	[60,159]	(27105,1)	14	1	1
17	2	[60,159]	(27428,1)	4	1	1
18	2	[60,159]	(27427,1)	24	1	1
19	2	[60,159]	(27620,1)	5	1	1
20	2	[60,159]	(27619,1)	17	1	1
21	2	[60,159]	(27618,1)	42	1	1
22	2	[60,159]	(27521,1)	84	1	1
23	2	[60,159]	(27520,1)	208	1	0
24	2	[60,159]	(27519,1)	416	0	0
25	2	[60,159]	(27518,1)	1666	0	0
26	2	[60,159]	(27626,1)	13	1	1
27	2	[60,159]	(27625,1)	33	1	1
28	2	[60,159]	(27624,1)	67	1	1
29	2	[60,159]	(27623,1)	167	1	0
30	2	[60,159]	(27622,1)	333	0	0
31	2	[60,159]	(27621,1)	1333	0	0
32	2	[60,159]	(26298,2)	1000	0	0
33	2	[60,159]	(26479,6)	1000	0	0
34	2	[60,159]	(27566,1)	1000	0	0
35	2	[60,159]	(25837,12)	1000	0	0
36	2	[60,159]	(26144,12)	1000	0	0
37	2	[60,159]	(26925,5)	1000	0	0
38	2	[60,159]	(26924,5)	1000	0	0
39	2	[60,159]	(26933,5)	1000	0	0
40	2	[60,159]	(26934,5)	1000	0	0
41	2	[60,159]	(26677,5)	1000	0	0
