level	rongyu	pub	TrainTower1	TrainTower2	TrainTower3	TrainTower4	TrainTower5	TrainTower6	TrainTower7	MonsterAbattoir	DailyTask	run	RoyalCalendar
等级	每次荣誉任务经验	在酒吧中，每分钟获得经验的基础值	勇士试炼场1层	勇士试炼场2层	勇士试炼场3层	勇士试炼场4层	勇士试炼场5层	勇士试炼场6层	勇士试炼场7层	怪物角斗场	每日任务	跑商获得的经验	皇族日历每天的任务
1	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
2	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
3	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
4	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
5	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
6	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
7	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
8	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
9	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
10	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
11	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
12	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
13	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
14	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
15	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
16	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
17	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
18	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
19	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
20	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
21	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
22	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
23	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
24	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
25	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
26	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
27	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
28	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
29	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
30	3000	36000	12000	12000	12000	12000	12000	12000	12000	9000	180000	225000	180000
31	3100	37200	12400	12400	12400	12400	12400	12400	12400	9300	191000	232500	191000
32	3200	38400	12800	12800	12800	12800	12800	12800	12800	9600	202000	240000	202000
33	3300	39600	13200	13200	13200	13200	13200	13200	13200	9900	213000	247500	213000
34	3400	40800	13600	13600	13600	13600	13600	13600	13600	10200	224000	255000	224000
35	3500	42000	14000	14000	14000	14000	14000	14000	14000	10500	235000	262500	235000
36	3600	43200	14400	14400	14400	14400	14400	14400	14400	10800	246000	270000	246000
37	3700	44400	14800	14800	14800	14800	14800	14800	14800	11100	257000	277500	257000
38	3800	45600	15200	15200	15200	15200	15200	15200	15200	11400	268000	285000	268000
39	3900	46800	15600	15600	15600	15600	15600	15600	15600	11700	279000	292500	279000
40	4000	48000	16000	16000	16000	16000	16000	16000	16000	12000	290000	300000	290000
41	4100	49200	16400	16400	16400	16400	16400	16400	16400	12300	301000	307500	301000
42	4200	50400	16800	16800	16800	16800	16800	16800	16800	12600	312000	315000	312000
43	4300	51600	17200	17200	17200	17200	17200	17200	17200	12900	323000	322500	323000
44	4400	52800	17600	17600	17600	17600	17600	17600	17600	13200	334000	330000	334000
45	4500	54000	18000	18000	18000	18000	18000	18000	18000	13500	345000	337500	345000
46	4600	55200	18400	18400	18400	18400	18400	18400	18400	13800	356000	345000	356000
47	4700	56400	18800	18800	18800	18800	18800	18800	18800	14100	367000	352500	367000
