index	needLevel	returnUnbindRMBRates	returnBindRMBRates	returnShowRates	lvlArea	tips
神石银行提取索引	提取需要等级	返还神石百分比	返还魔晶百分比	返还比例（客户端用）	等级区间	提示内容
1	1	20	20	40	[1,44]	
2	45	10	10	20	[45,49]	
3	50	10	10	20	[50,54]	
4	55	10	10	20	[55,59]	<font color='#00EE00'>此刻您已获得1倍返利</font>
5	60	20	20	40	[60,64]	
6	65	5	5	10	[65,69]	
7	70	5	5	10	[70,74]	
8	75	5	5	10	[75,79]	<font color='#00EE00'>此刻您已获得1.7倍返利</font>
9	80	10	10	20	[80,84]	
10	85	5	5	10	[85,89]	
11	90	5	5	10	[90,94]	<font color='#00EE00'>此刻您已获得2.1倍返利</font>
12	95	5	5	10	[95,99]	
13	100	10	10	20	[100,104]	
14	105	5	5	10	[105,109]	<font color='#00EE00'>此刻您已获得2.5倍返利</font>
15	110	5	5	10	[110,114]	<font color='#00EE00'>此刻您已获得2.6倍返利</font>
16	115	5	5	10	[115,119]	<font color='#00EE00'>此刻您已获得2.7倍返利</font>
17	120	15	15	30	[120,124]	<font color='#00EE00'>此刻您已获得3倍返利</font>
